gene,ligand,receptor,pair,cell_type,mean,std,n
CTLA4,IGF1,ITGA6,IGF1$ITGA6,CD8 T Cell,-2.0120334e-08,7.6230355e-09,2451
CTLA4,CXCL12,CXCR4,CXCL12$CXCR4,CD8 T Cell,-1.4683545e-06,6.1754184e-07,2451
CTLA4,LIF,IL6ST,LIF$IL6ST,CD8 T Cell,-5.8470544e-09,2.7949318e-09,2451
CTLA4,IL16,CD4,IL16$CD4,CD8 T Cell,1.0243906e-07,3.0940182e-08,2451
CTLA4,GAS6,MERTK,GAS6$MERTK,CD8 T Cell,-3.146118e-08,1.1111016e-08,2451
CTLA4,LGALS9,CD44,LGALS9$CD44,CD8 T Cell,6.615902e-08,2.0718698e-08,2451
CTLA4,PECAM1,PECAM1,PECAM1$PECAM1,CD8 T Cell,-7.54661e-09,1.5860377e-09,2451
CTLA4,IGF1,ITGA6,IGF1$ITGA6,other,-4.0561274e-10,2.9016476e-09,190549
CTLA4,CXCL12,CXCR4,CXCL12$CXCR4,other,-3.050264e-08,2.2050784e-07,190549
CTLA4,LIF,IL6ST,LIF$IL6ST,other,-1.3120965e-10,9.623836e-10,190549
CTLA4,IL16,CD4,IL16$CD4,other,2.1229158e-09,1.4867425e-08,190549
CTLA4,GAS6,MERTK,GAS6$MERTK,other,-6.664528e-10,4.734762e-09,190549
CTLA4,LGALS9,CD44,LGALS9$CD44,other,1.3695363e-09,9.620395e-09,190549
CTLA4,PECAM1,PECAM1,PECAM1$PECAM1,other,-1.6767972e-10,1.1439001e-09,190549
