gene,tf,cell_type,mean,std,n
CD3E,ARID3B,Effector CD8 T cell,2.2587707,0.53844494,2432
CD3E,BCL6,Effector CD8 T cell,-0.29568762,0.09801587,2432
CD3E,BCL6B,Effector CD8 T cell,1.4901661,0.10483771,2432
CD3E,CTCF,Effector CD8 T cell,-0.09110483,0.13140556,2432
CD3E,EHF,Effector CD8 T cell,0.16712968,0.024875123,2432
CD3E,ELK4,Effector CD8 T cell,0.44879588,0.052375115,2432
CD3E,EP300,Effector CD8 T cell,0.62131387,0.37629658,2432
CD3E,ESRRA,Effector CD8 T cell,-0.0854986,0.095728785,2432
CD3E,ETV5,Effector CD8 T cell,0.16819097,0.011437089,2432
CD3E,FLI1,Effector CD8 T cell,-0.29497156,0.21894002,2432
CD3E,FOXA1,Effector CD8 T cell,-0.5721354,0.09736024,2432
CD3E,FOXD2,Effector CD8 T cell,2.0058062,0.13967974,2432
CD3E,FOXI1,Effector CD8 T cell,0.46474752,0.0332997,2432
CD3E,FOXJ2,Effector CD8 T cell,-3.0556571,0.66789556,2432
CD3E,FOXL2,Effector CD8 T cell,-0.4860901,0.03933652,2432
CD3E,FOXO1,Effector CD8 T cell,3.6145701,0.5136335,2432
CD3E,FOXO3,Effector CD8 T cell,-0.8161207,0.06706649,2432
CD3E,FOXO4,Effector CD8 T cell,3.2631285,0.96546584,2432
CD3E,GATA1,Effector CD8 T cell,-0.41699606,0.03398264,2432
CD3E,GATA2,Effector CD8 T cell,-1.2222382,0.17653514,2432
CD3E,GATA3,Effector CD8 T cell,2.6018393,0.5452352,2432
CD3E,HOXA5,Effector CD8 T cell,-2.5260732,0.18005867,2432
CD3E,HOXB4,Effector CD8 T cell,-1.3426015,0.25124398,2432
CD3E,HOXB6,Effector CD8 T cell,-0.13383877,0.012819304,2432
CD3E,HOXB7,Effector CD8 T cell,0.00081217167,0.0019472614,2432
CD3E,HOXB9,Effector CD8 T cell,-0.2206516,0.020875407,2432
CD3E,IRX1,Effector CD8 T cell,-0.43816853,0.10173381,2432
CD3E,MECOM,Effector CD8 T cell,-1.1050125,0.08835925,2432
CD3E,MEF2A,Effector CD8 T cell,-3.798209,0.78772026,2432
CD3E,MYEF2,Effector CD8 T cell,-2.395971,0.31020063,2432
CD3E,NR3C1,Effector CD8 T cell,1.7195585,0.13457456,2432
CD3E,PDX1,Effector CD8 T cell,-0.05946241,0.07523188,2432
CD3E,PITX1,Effector CD8 T cell,-0.15733154,0.013417318,2432
CD3E,POU1F1,Effector CD8 T cell,-0.041490976,0.0049561495,2432
CD3E,POU2F1,Effector CD8 T cell,-0.11654555,0.009034334,2432
CD3E,PPARGC1A,Effector CD8 T cell,-0.8002763,0.06813557,2432
CD3E,RUNX1,Effector CD8 T cell,-0.4548251,0.40535644,2432
CD3E,SIN3A,Effector CD8 T cell,-0.029112503,0.02681127,2432
CD3E,SMAD4,Effector CD8 T cell,0.4115328,0.031801067,2432
CD3E,STAT1,Effector CD8 T cell,0.0015672236,0.003397538,2432
CD3E,STAT3,Effector CD8 T cell,2.1913614,0.21582213,2432
CD3E,STAT5A,Effector CD8 T cell,3.7999995,0.4781342,2432
CD3E,STAT5B,Effector CD8 T cell,1.5666552,0.14768249,2432
CD3E,TCF7L2,Effector CD8 T cell,0.84210855,0.059871387,2432
CD3E,THRA,Effector CD8 T cell,-0.17620994,0.18513195,2432
CD3E,THRB,Effector CD8 T cell,0.7499658,0.053867474,2432
CD3E,ZBTB1,Effector CD8 T cell,-0.0007618182,0.0027053333,2432
CD3E,ARID3B,Proliferating CD8 T cell,2.3033319,0.45251545,19
CD3E,BCL6,Proliferating CD8 T cell,-0.31545588,0.07647354,19
CD3E,BCL6B,Proliferating CD8 T cell,1.4977387,0.0036627543,19
CD3E,CTCF,Proliferating CD8 T cell,-0.069743544,0.111620635,19
CD3E,EHF,Proliferating CD8 T cell,0.17072919,0.016342428,19
CD3E,ELK4,Proliferating CD8 T cell,0.45442098,0.028337955,19
CD3E,EP300,Proliferating CD8 T cell,0.50192094,0.412521,19
CD3E,ESRRA,Proliferating CD8 T cell,-0.055471476,0.049028978,19
CD3E,ETV5,Proliferating CD8 T cell,0.1690025,0.0014990559,19
CD3E,FLI1,Proliferating CD8 T cell,-0.3562889,0.22062755,19
CD3E,FOXA1,Proliferating CD8 T cell,-0.57730275,0.069465734,19
CD3E,FOXD2,Proliferating CD8 T cell,2.015277,0.004876956,19
CD3E,FOXI1,Proliferating CD8 T cell,0.46606013,0.017278083,19
CD3E,FOXJ2,Proliferating CD8 T cell,-3.1112328,0.64555156,19
CD3E,FOXL2,Proliferating CD8 T cell,-0.48868838,0.007841296,19
CD3E,FOXO1,Proliferating CD8 T cell,3.7200112,0.3455985,19
CD3E,FOXO3,Proliferating CD8 T cell,-0.8199132,0.026610876,19
CD3E,FOXO4,Proliferating CD8 T cell,3.270097,1.0824755,19
CD3E,GATA1,Proliferating CD8 T cell,-0.41710293,0.01816575,19
CD3E,GATA2,Proliferating CD8 T cell,-1.2514518,0.06794292,19
CD3E,GATA3,Proliferating CD8 T cell,2.6514454,0.4570922,19
CD3E,HOXA5,Proliferating CD8 T cell,-2.5365584,0.021731501,19
CD3E,HOXB4,Proliferating CD8 T cell,-1.3796083,0.17315778,19
CD3E,HOXB6,Proliferating CD8 T cell,-0.13438787,0.0057921507,19
CD3E,HOXB7,Proliferating CD8 T cell,0.00043345537,0.0011916012,19
CD3E,HOXB9,Proliferating CD8 T cell,-0.22279222,0.003906968,19
CD3E,IRX1,Proliferating CD8 T cell,-0.46229005,0.044643026,19
CD3E,MECOM,Proliferating CD8 T cell,-1.1108575,0.016883617,19
CD3E,MEF2A,Proliferating CD8 T cell,-3.8925724,0.69626844,19
