gene,ligand,tf,pair,cell_type,mean,std,n
CD3E,EBI3,CTCF,EBI3#CTCF,T Cell,-6.7670767e-09,3.0039062e-09,9364
CD3E,CSF1,ETV5,CSF1#ETV5,T Cell,4.261776e-07,2.3899787e-07,9364
CD3E,IL15,ETV5,IL15#ETV5,T Cell,2.4585228e-07,8.406519e-08,9364
CD3E,IL6,FLI1,IL6#FLI1,T Cell,4.1635282e-08,3.259734e-08,9364
CD3E,CXCL12,FOXJ2,CXCL12#FOXJ2,T Cell,-5.16061e-07,1.8715114e-07,9364
CD3E,TGFB3,FOXO1,TGFB3#FOXO1,T Cell,-4.596843e-08,1.0483184e-08,9364
CD3E,TNFSF9,HOXB7,TNFSF9#HOXB7,T Cell,8.789556e-07,3.5241507e-07,9364
CD3E,IL18,HOXB7,IL18#HOXB7,T Cell,1.6947943e-06,1.1072309e-06,9364
CD3E,HBEGF,HOXB7,HBEGF#HOXB7,T Cell,1.7121056e-07,1.2194027e-07,9364
CD3E,CXCL12,HOXB7,CXCL12#HOXB7,T Cell,-3.4860906e-05,7.826809e-06,9364
CD3E,POSTN,POU1F1,POSTN#POU1F1,T Cell,-2.472662e-08,1.6465036e-08,9364
CD3E,PDGFA,POU2F1,PDGFA#POU2F1,T Cell,-1.172575e-08,4.2966173e-09,9364
CD3E,FGF2,RUNX1,FGF2#RUNX1,T Cell,7.16608e-08,1.5478715e-08,9364
CD3E,IL18,SIN3A,IL18#SIN3A,T Cell,-9.5955166e-08,1.9894017e-08,9364
CD3E,CXCL12,SIN3A,CXCL12#SIN3A,T Cell,-1.3782872e-06,8.2759e-07,9364
CD3E,EBI3,SIN3A,EBI3#SIN3A,T Cell,-3.3174035e-09,9.462322e-10,9364
CD3E,IFNG,STAT1,IFNG#STAT1,T Cell,-7.1503855e-08,5.027018e-08,9364
CD3E,IL6,STAT3,IL6#STAT3,T Cell,-4.919142e-07,1.9865922e-07,9364
CD3E,TNFSF12,STAT5A,TNFSF12#STAT5A,T Cell,3.634453e-07,1.4611106e-07,9364
CD3E,TNFSF12,TCF7L2,TNFSF12#TCF7L2,T Cell,-8.332259e-08,1.470632e-08,9364
CD3E,VEGFC,ZBTB1,VEGFC#ZBTB1,T Cell,-1.2640005e-08,6.564098e-09,9364
CD3E,EBI3,CTCF,EBI3#CTCF,other,-8.1640295e-10,2.4548978e-09,103187
CD3E,CSF1,ETV5,CSF1#ETV5,other,5.225757e-08,1.63845e-07,103187
CD3E,IL15,ETV5,IL15#ETV5,other,2.954659e-08,8.598313e-08,103187
CD3E,IL6,FLI1,IL6#FLI1,other,5.1073887e-09,1.7860732e-08,103187
CD3E,CXCL12,FOXJ2,CXCL12#FOXJ2,other,-6.191846e-08,1.8268778e-07,103187
CD3E,TGFB3,FOXO1,TGFB3#FOXO1,other,-5.233427e-09,1.4864635e-08,103187
CD3E,TNFSF9,HOXB7,TNFSF9#HOXB7,other,9.5987524e-08,2.901533e-07,103187
CD3E,IL18,HOXB7,IL18#HOXB7,other,2.1077916e-07,6.9084587e-07,103187
CD3E,HBEGF,HOXB7,HBEGF#HOXB7,other,2.0803661e-08,6.98614e-08,103187
CD3E,CXCL12,HOXB7,CXCL12#HOXB7,other,-3.9996926e-06,1.1348696e-05,103187
CD3E,POSTN,POU1F1,POSTN#POU1F1,other,-3.1169887e-09,1.0221759e-08,103187
CD3E,PDGFA,POU2F1,PDGFA#POU2F1,other,-1.3375367e-09,3.95192e-09,103187
CD3E,FGF2,RUNX1,FGF2#RUNX1,other,8.196062e-09,2.318219e-08,103187
CD3E,IL18,SIN3A,IL18#SIN3A,other,-1.1020798e-08,3.1128227e-08,103187
CD3E,CXCL12,SIN3A,CXCL12#SIN3A,other,-1.6249511e-07,5.292488e-07,103187
CD3E,EBI3,SIN3A,EBI3#SIN3A,other,-3.6908623e-10,1.0679194e-09,103187
CD3E,IFNG,STAT1,IFNG#STAT1,other,-8.928046e-09,2.9908907e-08,103187
CD3E,IL6,STAT3,IL6#STAT3,other,-5.6484026e-08,1.6781925e-07,103187
CD3E,TNFSF12,STAT5A,TNFSF12#STAT5A,other,4.3153896e-08,1.2791034e-07,103187
CD3E,TNFSF12,TCF7L2,TNFSF12#TCF7L2,other,-9.412834e-09,2.6420015e-08,103187
CD3E,VEGFC,ZBTB1,VEGFC#ZBTB1,other,-1.5203783e-09,4.7044693e-09,103187
HIF1A,PDGFD,ATF3,PDGFD#ATF3,T Cell,0.0,0.0,9364
HIF1A,ANGPTL4,BRCA1,ANGPTL4#BRCA1,T Cell,0.0,0.0,9364
HIF1A,IL18,E2F1,IL18#E2F1,T Cell,0.0,0.0,9364
HIF1A,VEGFA,EGR3,VEGFA#EGR3,T Cell,0.0,0.0,9364
HIF1A,IL18,EMX2,IL18#EMX2,T Cell,0.0,0.0,9364
HIF1A,VEGFA,ETS1,VEGFA#ETS1,T Cell,0.0,0.0,9364
HIF1A,CXCL12,FOXJ2,CXCL12#FOXJ2,T Cell,0.0,0.0,9364
HIF1A,TGFA,FOXN1,TGFA#FOXN1,T Cell,0.0,0.0,9364
HIF1A,VEGFA,FOXO4,VEGFA#FOXO4,T Cell,0.0,0.0,9364
HIF1A,BMP4,GATA3,BMP4#GATA3,T Cell,0.0,0.0,9364
HIF1A,BMP4,HES1,BMP4#HES1,T Cell,0.0,0.0,9364
HIF1A,VEGFA,HLX,VEGFA#HLX,T Cell,0.0,0.0,9364
HIF1A,VEGFA,KLF4,VEGFA#KLF4,T Cell,0.0,0.0,9364
HIF1A,TNFSF10,KLF4,TNFSF10#KLF4,T Cell,0.0,0.0,9364
HIF1A,WNT3A,KLF5,WNT3A#KLF5,T Cell,0.0,0.0,9364
HIF1A,PDGFC,KLF5,PDGFC#KLF5,T Cell,0.0,0.0,9364
HIF1A,TGFB3,MYC,TGFB3#MYC,T Cell,0.0,0.0,9364
HIF1A,ADM,PAX1,ADM#PAX1,T Cell,0.0,0.0,9364
HIF1A,WNT5A,PAX8,WNT5A#PAX8,T Cell,0.0,0.0,9364
HIF1A,IL18,POLR2A,IL18#POLR2A,T Cell,0.0,0.0,9364
HIF1A,TGFA,POLR2A,TGFA#POLR2A,T Cell,0.0,0.0,9364
