group,left,right,count
lr,-0.008696556,-0.008339289,1
lr,-0.008339289,-0.007982021,1
lr,-0.007982021,-0.007624754,0
lr,-0.007624754,-0.0072674872,0
lr,-0.0072674872,-0.00691022,1
lr,-0.00691022,-0.0065529523,0
lr,-0.0065529523,-0.0061956854,0
lr,-0.0061956854,-0.005838418,0
lr,-0.005838418,-0.005481151,0
lr,-0.005481151,-0.0051238835,0
lr,-0.0051238835,-0.004766616,0
lr,-0.004766616,-0.004409349,1
lr,-0.004409349,-0.0040520816,0
lr,-0.0040520816,-0.0036948144,1
lr,-0.0036948144,-0.0033375472,0
lr,-0.0033375472,-0.00298028,0
lr,-0.00298028,-0.0026230128,1
lr,-0.0026230128,-0.0022657453,0
lr,-0.0022657453,-0.0019084781,1
lr,-0.0019084781,-0.0015512109,0
lr,-0.0015512109,-0.0011939437,0
lr,-0.0011939437,-0.00083667634,7
lr,-0.00083667634,-0.0004794091,11
lr,-0.0004794091,-0.00012214184,38
lr,-0.00012214184,0.00023512542,1491
lr,0.00023512542,0.0005923927,23
lr,0.0005923927,0.00094965997,9
lr,0.00094965997,0.0013069272,4
lr,0.0013069272,0.0016641945,0
lr,0.0016641945,0.0020214617,2
lr,0.0020214617,0.002378729,1
lr,0.002378729,0.0027359962,1
lr,0.0027359962,0.0030932636,0
lr,0.0030932636,0.0034505308,0
lr,0.0034505308,0.003807798,1
lr,0.003807798,0.0041650655,0
lr,0.0041650655,0.0045223325,0
lr,0.0045223325,0.0048796,0
lr,0.0048796,0.005236867,1
lr,0.005236867,0.0055941343,1
lr,0.0055941343,0.005951402,0
lr,0.005951402,0.0063086688,0
lr,0.0063086688,0.006665936,0
lr,0.006665936,0.007023203,0
lr,0.007023203,0.0073804706,0
lr,0.0073804706,0.007737738,0
lr,0.007737738,0.0080950055,0
lr,0.0080950055,0.008452272,0
lr,0.008452272,0.0088095395,0
lr,0.0088095395,0.009166807,1
ltf,-3.4860906e-05,-3.4129793e-05,1
ltf,-3.4129793e-05,-3.339868e-05,0
ltf,-3.339868e-05,-3.2667565e-05,0
ltf,-3.2667565e-05,-3.193645e-05,0
ltf,-3.193645e-05,-3.1205338e-05,0
ltf,-3.1205338e-05,-3.0474223e-05,0
ltf,-3.0474223e-05,-2.9743109e-05,0
ltf,-2.9743109e-05,-2.9011995e-05,0
ltf,-2.9011995e-05,-2.828088e-05,0
ltf,-2.828088e-05,-2.7549766e-05,0
ltf,-2.7549766e-05,-2.6818652e-05,0
ltf,-2.6818652e-05,-2.6087539e-05,0
ltf,-2.6087539e-05,-2.5356425e-05,0
ltf,-2.5356425e-05,-2.462531e-05,0
ltf,-2.462531e-05,-2.3894196e-05,0
ltf,-2.3894196e-05,-2.3163082e-05,0
ltf,-2.3163082e-05,-2.2431968e-05,0
ltf,-2.2431968e-05,-2.1700855e-05,0
ltf,-2.1700855e-05,-2.0969741e-05,0
ltf,-2.0969741e-05,-2.0238625e-05,0
ltf,-2.0238625e-05,-1.9507512e-05,0
ltf,-1.9507512e-05,-1.8776398e-05,0
ltf,-1.8776398e-05,-1.8045284e-05,0
ltf,-1.8045284e-05,-1.731417e-05,0
ltf,-1.731417e-05,-1.6583057e-05,0
ltf,-1.6583057e-05,-1.5851941e-05,0
ltf,-1.5851941e-05,-1.5120828e-05,0
ltf,-1.5120828e-05,-1.4389714e-05,0
ltf,-1.4389714e-05,-1.36586e-05,0
ltf,-1.36586e-05,-1.2927486e-05,0
ltf,-1.2927486e-05,-1.2196372e-05,0
ltf,-1.2196372e-05,-1.1465258e-05,0
ltf,-1.1465258e-05,-1.0734144e-05,0
ltf,-1.0734144e-05,-1.000303e-05,0
ltf,-1.000303e-05,-9.271916e-06,0
ltf,-9.271916e-06,-8.540802e-06,0
ltf,-8.540802e-06,-7.809688e-06,0
ltf,-7.809688e-06,-7.078574e-06,0
ltf,-7.078574e-06,-6.34746e-06,0
ltf,-6.34746e-06,-5.616346e-06,1
ltf,-5.616346e-06,-4.8852316e-06,0
ltf,-4.8852316e-06,-4.154118e-06,0
ltf,-4.154118e-06,-3.4230038e-06,1
ltf,-3.4230038e-06,-2.69189e-06,0
ltf,-2.69189e-06,-1.9607758e-06,0
ltf,-1.9607758e-06,-1.2296618e-06,3
ltf,-1.2296618e-06,-4.9854776e-07,5
ltf,-4.9854776e-07,2.3256624e-07,104
ltf,2.3256624e-07,9.636802e-07,4
ltf,9.636802e-07,1.6947943e-06,1
metab,-0.0051029543,-0.004680766,3
metab,-0.004680766,-0.0042585777,0
metab,-0.0042585777,-0.0038363894,0
metab,-0.0038363894,-0.003414201,2
metab,-0.003414201,-0.0029920128,0
metab,-0.0029920128,-0.0025698245,1
metab,-0.0025698245,-0.002147636,1
metab,-0.002147636,-0.0017254477,3
metab,-0.0017254477,-0.0013032594,1
metab,-0.0013032594,-0.000881071,6
metab,-0.000881071,-0.00045888269,13
metab,-0.00045888269,-3.6694353e-05,93
metab,-3.6694353e-05,0.00038549397,710
metab,0.00038549397,0.0008076823,23
metab,0.0008076823,0.0012298706,8
metab,0.0012298706,0.001652059,11
metab,0.001652059,0.0020742472,3
metab,0.0020742472,0.0024964355,4
metab,0.0024964355,0.002918624,4
metab,0.002918624,0.0033408124,2
metab,0.0033408124,0.0037630007,2
metab,0.0037630007,0.004185189,8
metab,0.004185189,0.004607377,1
metab,0.004607377,0.0050295657,1
metab,0.0050295657,0.0054517537,1
metab,0.0054517537,0.0058739423,2
metab,0.0058739423,0.006296131,2
metab,0.006296131,0.006718319,0
metab,0.006718319,0.0071405075,1
metab,0.0071405075,0.0075626955,1
metab,0.0075626955,0.007984884,0
metab,0.007984884,0.008407072,0
metab,0.008407072,0.00882926,1
metab,0.00882926,0.009251449,1
metab,0.009251449,0.009673637,0
metab,0.009673637,0.010095825,0
metab,0.010095825,0.0105180135,0
metab,0.0105180135,0.0109402025,0
metab,0.0109402025,0.011362391,1
metab,0.011362391,0.011784579,1
metab,0.011784579,0.012206768,0
metab,0.012206768,0.012628956,0
metab,0.012628956,0.013051144,1
metab,0.013051144,0.013473332,0
metab,0.013473332,0.013895521,0
metab,0.013895521,0.014317709,0
metab,0.014317709,0.014739897,0
metab,0.014739897,0.015162085,1
metab,0.015162085,0.015584274,0
metab,0.015584274,0.016006462,1
tf,-2.2371984,-2.115542,1
tf,-2.115542,-1.9938855,0
tf,-1.9938855,-1.8722291,0
tf,-1.8722291,-1.7505727,0
tf,-1.7505727,-1.6289163,2
tf,-1.6289163,-1.5072598,1
tf,-1.5072598,-1.3856034,0
tf,-1.3856034,-1.263947,2
tf,-1.263947,-1.1422906,1
tf,-1.1422906,-1.0206342,1
tf,-1.0206342,-0.89897776,2
tf,-0.89897776,-0.77732134,7
tf,-0.77732134,-0.6556649,5
tf,-0.6556649,-0.5340085,10
tf,-0.5340085,-0.4123521,5
tf,-0.4123521,-0.29069567,21
tf,-0.29069567,-0.16903925,43
tf,-0.16903925,-0.04738283,197
tf,-0.04738283,0.074273586,1685
tf,0.074273586,0.19593,165
tf,0.19593,0.31758642,44
tf,0.31758642,0.43924284,30
tf,0.43924284,0.56089926,13
tf,0.56089926,0.6825557,3
tf,0.6825557,0.8042121,3
tf,0.8042121,0.9258685,3
tf,0.9258685,1.0475249,3
tf,1.0475249,1.1691813,1
tf,1.1691813,1.2908378,0
