gene,ligand,receptor,pair,cell_type,mean,std,n
CD3E,TGFB1,TGFBR1,TGFB1$TGFBR1,Effector CD8 T cell,1.0088054e-07,2.3210312e-08,4715
CD3E,TGFB1,TGFBR2,TGFB1$TGFBR2,Effector CD8 T cell,-6.792953e-07,2.9711322e-07,4715
CD3E,TGFB2,TGFBR2,TGFB2$TGFBR2,Effector CD8 T cell,0.0,0.0,4715
CD3E,TGFB3,TGFBR1,TGFB3$TGFBR1,Effector CD8 T cell,-0.00014961533,2.761328e-05,4715
CD3E,TGFB3,TGFBR2,TGFB3$TGFBR2,Effector CD8 T cell,-4.36751e-05,1.2371282e-05,4715
CD3E,TGFB3,ACVR1,TGFB3$ACVR1,Effector CD8 T cell,1.9821104e-07,5.16884e-08,4715
CD3E,BMP7,BMPR2,BMP7$BMPR2,Effector CD8 T cell,0.0,0.0,4715
CD3E,BMP8A,BMPR2,BMP8A$BMPR2,Effector CD8 T cell,-4.6996846e-08,2.0631548e-08,4715
CD3E,BMP8B,ACVR1,BMP8B$ACVR1,Effector CD8 T cell,2.5177712e-07,1.6432938e-07,4715
CD3E,BMP8B,ACVR2A,BMP8B$ACVR2A,Effector CD8 T cell,4.9346866e-08,2.9437542e-08,4715
CD3E,BMP8B,BMPR2,BMP8B$BMPR2,Effector CD8 T cell,-5.3272497e-06,2.0170094e-06,4715
CD3E,BMP8B,BMPR1A,BMP8B$BMPR1A,Effector CD8 T cell,9.872161e-07,2.1531066e-07,4715
CD3E,GDF11,TGFBR1,GDF11$TGFBR1,Effector CD8 T cell,-5.7987763e-06,1.2904417e-06,4715
CD3E,GDF11,ACVR2A,GDF11$ACVR2A,Effector CD8 T cell,-1.3526201e-06,2.9771473e-07,4715
CD3E,GDF11,ACVR1B,GDF11$ACVR1B,Effector CD8 T cell,-3.5156805e-07,1.504702e-07,4715
CD3E,GDF15,TGFBR2,GDF15$TGFBR2,Effector CD8 T cell,0.00019166573,5.2724492e-05,4715
CD3E,INHBA,ACVR1B,INHBA$ACVR1B,Effector CD8 T cell,-1.397838e-07,7.568782e-08,4715
CD3E,INHBA,ACVR2A,INHBA$ACVR2A,Effector CD8 T cell,-1.3467637e-05,2.781427e-06,4715
CD3E,WNT2,FZD1,WNT2$FZD1,Effector CD8 T cell,-2.8975892e-06,4.9139123e-07,4715
CD3E,WNT2,LRP5,WNT2$LRP5,Effector CD8 T cell,4.1602323e-08,3.671124e-08,4715
CD3E,WNT3,FZD1,WNT3$FZD1,Effector CD8 T cell,-1.550438e-08,1.0361296e-08,4715
CD3E,WNT3,FZD10,WNT3$FZD10,Effector CD8 T cell,0.0,0.0,4715
CD3E,WNT3,FZD4,WNT3$FZD4,Effector CD8 T cell,0.0,0.0,4715
CD3E,WNT2,LRP6,WNT2$LRP6,Effector CD8 T cell,5.6489597e-08,3.325885e-08,4715
CD3E,WNT3,LRP6,WNT3$LRP6,Effector CD8 T cell,0.0,0.0,4715
CD3E,WNT5A,FZD1,WNT5A$FZD1,Effector CD8 T cell,-4.79655e-05,1.074678e-05,4715
CD3E,WNT5A,FZD10,WNT5A$FZD10,Effector CD8 T cell,0.0,0.0,4715
CD3E,WNT5A,FZD4,WNT5A$FZD4,Effector CD8 T cell,0.0,0.0,4715
CD3E,WNT5A,FZD6,WNT5A$FZD6,Effector CD8 T cell,0.0,0.0,4715
CD3E,WNT5A,MCAM,WNT5A$MCAM,Effector CD8 T cell,-7.721166e-07,1.5089235e-07,4715
CD3E,FGF1,FGFR1,FGF1$FGFR1,Effector CD8 T cell,-0.0005388169,0.00010096168,4715
CD3E,FGF2,FGFR1,FGF2$FGFR1,Effector CD8 T cell,-0.00012546679,3.0083134e-05,4715
CD3E,FGF7,FGFR1,FGF7$FGFR1,Effector CD8 T cell,-0.00013005533,5.1071554e-05,4715
CD3E,PDGFA,PDGFRA,PDGFA$PDGFRA,Effector CD8 T cell,-8.218777e-05,2.7806931e-05,4715
CD3E,PDGFA,PDGFRB,PDGFA$PDGFRB,Effector CD8 T cell,-0.00029415725,6.5192115e-05,4715
CD3E,PDGFB,PDGFRA,PDGFB$PDGFRA,Effector CD8 T cell,-1.9676514e-05,5.378147e-06,4715
CD3E,PDGFB,PDGFRB,PDGFB$PDGFRB,Effector CD8 T cell,-0.00011710683,3.3320415e-05,4715
CD3E,PDGFC,PDGFRA,PDGFC$PDGFRA,Effector CD8 T cell,-0.00017805368,4.2005402e-05,4715
CD3E,PDGFD,PDGFRB,PDGFD$PDGFRB,Effector CD8 T cell,-7.355445e-05,1.4288277e-05,4715
CD3E,VEGFA,KDR,VEGFA$KDR,Effector CD8 T cell,0.0,0.0,4715
CD3E,IGF2,IGF2R,IGF2$IGF2R,Effector CD8 T cell,-5.027726e-07,3.486048e-07,4715
CD3E,IGF2,ITGAV,IGF2$ITGAV,Effector CD8 T cell,-3.8200366e-08,1.3381212e-08,4715
CD3E,APLN,APLNR,APLN$APLNR,Effector CD8 T cell,0.0,0.0,4715
CD3E,CCL8,CCR1,CCL8$CCR1,Effector CD8 T cell,8.5834086e-05,1.9112744e-05,4715
CD3E,CCL13,CCR1,CCL13$CCR1,Effector CD8 T cell,5.854133e-06,3.270222e-06,4715
CD3E,CCL14,CCR1,CCL14$CCR1,Effector CD8 T cell,4.137445e-07,6.318202e-08,4715
CD3E,CCL8,CCR2,CCL8$CCR2,Effector CD8 T cell,-6.129133e-07,1.4809575e-07,4715
CD3E,CXCL9,CXCR3,CXCL9$CXCR3,Effector CD8 T cell,0.0023026352,0.00024119108,4715
CD3E,CXCL10,CXCR3,CXCL10$CXCR3,Effector CD8 T cell,0.001145008,0.00021709624,4715
CD3E,CXCL11,CXCR3,CXCL11$CXCR3,Effector CD8 T cell,0.00019949084,8.287295e-05,4715
CD3E,CXCL13,CXCR3,CXCL13$CXCR3,Effector CD8 T cell,0.00011626338,2.7875101e-05,4715
CD3E,CXCL12,CXCR4,CXCL12$CXCR4,Effector CD8 T cell,-2.5556315e-05,1.6104548e-05,4715
CD3E,CXCL11,ACKR3,CXCL11$ACKR3,Effector CD8 T cell,-8.811952e-06,5.4036636e-06,4715
CD3E,CXCL12,ACKR3,CXCL12$ACKR3,Effector CD8 T cell,4.3937136e-05,1.4882202e-05,4715
CD3E,CXCL16,CXCR6,CXCL16$CXCR6,Effector CD8 T cell,0.0008686728,0.00016932297,4715
CD3E,IL7,IL2RG,IL7$IL2RG,Effector CD8 T cell,0.00054955715,8.882177e-05,4715
CD3E,IL15,IL2RB,IL15$IL2RB,Effector CD8 T cell,6.886589e-05,4.4313056e-05,4715
CD3E,IL15,IL2RG,IL15$IL2RG,Effector CD8 T cell,0.0010523152,0.00016557262,4715
CD3E,IL21,IL2RG,IL21$IL2RG,Effector CD8 T cell,-4.1100964e-08,1.3130074e-08,4715
CD3E,IL6,IL6R,IL6$IL6R,Effector CD8 T cell,-1.5212217e-05,3.937149e-06,4715
CD3E,IL6,IL6ST,IL6$IL6ST,Effector CD8 T cell,-9.449338e-05,1.835987e-05,4715
CD3E,IL11,IL6ST,IL11$IL6ST,Effector CD8 T cell,-7.841121e-08,2.8405182e-08,4715
CD3E,CNTF,IL6ST,CNTF$IL6ST,Effector CD8 T cell,1.4330074e-06,2.4766572e-07,4715
CD3E,IL1B,IL1R1,IL1B$IL1R1,Effector CD8 T cell,-5.838096e-06,5.237963e-06,4715
CD3E,IL18,IL18R1,IL18$IL18R1,Effector CD8 T cell,-1.5972375e-08,4.61799e-09,4715
CD3E,CSF1,CSF1R,CSF1$CSF1R,Effector CD8 T cell,-7.68691e-05,1.8304145e-05,4715
CD3E,IL16,CD4,IL16$CD4,Effector CD8 T cell,-0.0020139376,0.00022667214,4715
CD3E,IFNG,IFNGR1,IFNG$IFNGR1,Effector CD8 T cell,2.3685918e-09,1.5046795e-09,4715
CD3E,IFNG,IFNGR2,IFNG$IFNGR2,Effector CD8 T cell,-8.307543e-08,5.6550306e-08,4715
CD3E,LTA,TNFRSF1B,LTA$TNFRSF1B,Effector CD8 T cell,-5.689014e-07,1.8489462e-07,4715
CD3E,TNFSF14,LTBR,TNFSF14$LTBR,Effector CD8 T cell,-1.7982886e-07,3.3945025e-08,4715
CD3E,TNFSF14,TNFRSF14,TNFSF14$TNFRSF14,Effector CD8 T cell,1.4924957e-07,3.3694043e-08,4715
CD3E,FASLG,FAS,FASLG$FAS,Effector CD8 T cell,-6.670672e-08,4.6529802e-08,4715
CD3E,TNFSF10,TNFRSF10A,TNFSF10$TNFRSF10A,Effector CD8 T cell,4.787195e-05,3.4234377e-05,4715
CD3E,TNFSF12,TNFRSF12A,TNFSF12$TNFRSF12A,Effector CD8 T cell,-4.1445796e-06,9.962707e-07,4715
CD3E,CD70,CD27,CD70$CD27,Effector CD8 T cell,1.685351e-05,1.0466999e-05,4715
CD3E,TNFSF9,TNFRSF9,TNFSF9$TNFRSF9,Effector CD8 T cell,2.6287978e-07,8.5088175e-08,4715
CD3E,TNFSF13B,TNFRSF13C,TNFSF13B$TNFRSF13C,Effector CD8 T cell,-2.4523522e-06,1.3860168e-06,4715
CD3E,CD40LG,ITGB2,CD40LG$ITGB2,Effector CD8 T cell,1.27819885e-05,2.4545673e-06,4715
CD3E,ANGPTL2,ITGA5,ANGPTL2$ITGA5,Effector CD8 T cell,-2.0495407e-05,7.193808e-06,4715
CD3E,ANGPTL2,TLR4,ANGPTL2$TLR4,Effector CD8 T cell,-0.00012793079,2.4301009e-05,4715
CD3E,ANGPTL4,ITGA5,ANGPTL4$ITGA5,Effector CD8 T cell,-2.1529609e-06,5.745388e-07,4715
CD3E,ANGPTL4,ITGAV,ANGPTL4$ITGAV,Effector CD8 T cell,-2.5555636e-07,9.193458e-08,4715
