gene,metabolite,cell_type,mean,std,n
CD3E,D-Glucose,Effector CD8 T cell,0.00075558614,0.0001062634,4715
CD3E,D-Galactose|D-Mannose,Effector CD8 T cell,0.00083407195,0.00014208636,4715
CD3E,Glucosamine,Effector CD8 T cell,5.4978322e-08,3.356606e-08,4715
CD3E,Docosahexaenoic acid|Dehydroascorbic acid,Effector CD8 T cell,0.00084214733,0.00014908722,4715
CD3E,D-Xylose|D-Maltose,Effector CD8 T cell,0.0005299989,0.000117611584,4715
CD3E,L-Glutamine,Effector CD8 T cell,-0.001897206,0.00018633464,4715
CD3E,L-Alanine|L-Asparagine|L-Threonine,Effector CD8 T cell,-3.0767424e-05,1.0471317e-05,4715
CD3E,L-Cysteine,Effector CD8 T cell,-0.0002063277,5.0768584e-05,4715
CD3E,L-Histidine|L-Tyrosine,Effector CD8 T cell,8.039133e-05,1.3128868e-05,4715
CD3E,L-Serine,Effector CD8 T cell,-9.149261e-05,2.0694271e-05,4715
CD3E,L-Methionine|L-Phenylalanine,Effector CD8 T cell,-6.703744e-05,1.7059368e-05,4715
CD3E,L-Lactate,Effector CD8 T cell,-0.00033109417,8.181906e-05,4715
CD3E,Pyruvate|Ketone bodies|Butyrate|D-Lactate|alpha-Ketoisovaleric acid,Effector CD8 T cell,-1.7817518e-05,8.1859e-06,4715
CD3E,Nicotinate,Effector CD8 T cell,-0.0021030735,0.00020514106,4715
CD3E,L-Glutamate,Effector CD8 T cell,-0.0008000948,0.00012393728,4715
CD3E,L-Aspartate|D-Aspartate,Effector CD8 T cell,2.1374613e-07,5.4766225e-08,4715
CD3E,L-Cystine,Effector CD8 T cell,-3.8901317e-06,1.503561e-06,4715
CD3E,Zinc,Effector CD8 T cell,-2.6483383e-06,6.127613e-07,4715
CD3E,Iron,Effector CD8 T cell,-0.0034257073,0.00027722388,4715
CD3E,Cadmium,Effector CD8 T cell,-1.8518314e-06,1.0038984e-06,4715
CD3E,Manganese,Effector CD8 T cell,-8.35165e-06,2.3628686e-06,4715
CD3E,L-Carnitine,Effector CD8 T cell,-1.2045263e-08,8.2643075e-09,4715
CD3E,Sodium,Effector CD8 T cell,-0.00097111374,0.000107060565,4715
CD3E,Acetate,Effector CD8 T cell,-0.0035143462,0.00027998406,4715
CD3E,L-Leucine,Effector CD8 T cell,-0.00042296908,7.4233314e-05,4715
CD3E,L-Arginine,Effector CD8 T cell,7.225734e-05,2.0162553e-05,4715
CD3E,Fatty acid,Effector CD8 T cell,-0.0013603962,0.0001777121,4715
CD3E,25-Hydroxycholesterol,Effector CD8 T cell,-0.00080859975,0.00012819067,4715
CD3E,Cholesterol,Effector CD8 T cell,1.7786346e-05,3.4187287e-06,4715
CD3E,Phosphate,Effector CD8 T cell,2.1726953e-07,6.7034186e-08,4715
CD3E,Ethanol,Effector CD8 T cell,-0.00063885003,0.00010209971,4715
CD3E,Folic acid,Effector CD8 T cell,-3.8261594e-05,2.6287738e-05,4715
CD3E,Heme,Effector CD8 T cell,-0.00088752,0.00012944141,4715
CD3E,Citric acid|Oxalic acid,Effector CD8 T cell,-0.0010932592,0.00014338967,4715
CD3E,Malic acid,Effector CD8 T cell,2.0269266e-07,5.2691995e-08,4715
CD3E,L-Valine|L-Isoleucine,Effector CD8 T cell,-5.1047945e-08,3.5267337e-08,4715
CD3E,Adenosine|Uridine|Inosine|Cytidine|Guanosine,Effector CD8 T cell,-0.00058466184,0.000100907164,4715
CD3E,Thymidine,Effector CD8 T cell,-0.0005936946,0.00010511203,4715
CD3E,Vitamin D3,Effector CD8 T cell,-4.887315e-07,4.913362e-07,4715
CD3E,Urea,Effector CD8 T cell,0.0,0.0,4715
CD3E,Adenosine diphosphate ribose,Effector CD8 T cell,6.646912e-06,3.5324845e-06,4715
CD3E,Chloride ion,Effector CD8 T cell,2.0699552e-07,1.2746071e-07,4715
CD3E,alpha-Tocopherol,Effector CD8 T cell,-1.7347293e-05,5.487674e-06,4715
CD3E,Taurocholic acid,Effector CD8 T cell,-0.0024287647,0.00022363153,4715
CD3E,Bilirubin,Effector CD8 T cell,5.550766e-08,2.6420915e-08,4715
CD3E,Glutathione,Effector CD8 T cell,-2.9396413e-05,9.137861e-06,4715
CD3E,Estradiol,Effector CD8 T cell,-0.0007069669,0.00011794047,4715
CD3E,Adenosine triphosphate,Effector CD8 T cell,0.0013425517,0.00017408069,4715
CD3E,Cholic acid,Effector CD8 T cell,9.207906e-05,3.1270254e-05,4715
CD3E,Leukotriene C4,Effector CD8 T cell,-7.957524e-06,1.8438608e-06,4715
CD3E,ADP,Effector CD8 T cell,5.0526637e-07,8.534951e-08,4715
CD3E,Folinic acid,Effector CD8 T cell,1.5017494e-06,4.822071e-07,4715
CD3E,Progesterone,Effector CD8 T cell,2.3095221e-05,7.0746046e-06,4715
CD3E,17a-Ethynylestradiol,Effector CD8 T cell,3.6109803e-05,8.466755e-06,4715
CD3E,Water,Effector CD8 T cell,1.2103841e-07,2.2743981e-08,4715
CD3E,"3',4'-Dihydrodiol",Effector CD8 T cell,3.386845e-05,8.076948e-06,4715
CD3E,4-ene-Valproic acid,Effector CD8 T cell,-4.638238e-05,1.2304972e-05,4715
CD3E,O-Desmethylverapamil (D-702),Effector CD8 T cell,6.878088e-05,4.603671e-05,4715
CD3E,4'-Hydroxydiclofenac,Effector CD8 T cell,7.047857e-05,1.7864966e-05,4715
CD3E,Fusidic Acid,Effector CD8 T cell,-8.2812406e-08,3.9735436e-08,4715
CD3E,Chloride,Effector CD8 T cell,0.0003176456,6.409257e-05,4715
CD3E,Sodium_hydrogen exchange,Effector CD8 T cell,-2.1098437e-08,6.2413843e-09,4715
CD3E,Neurotransmitter,Effector CD8 T cell,-1.6121005e-05,4.209845e-06,4715
CD3E,Anion exchange,Effector CD8 T cell,-5.4703725e-07,1.4623501e-07,4715
CD3E,Calcium release-activated calcium transport,Effector CD8 T cell,3.1181173e-06,2.1032088e-06,4715
CD3E,Amiloride-sensitive sodium transport,Effector CD8 T cell,0.0,0.0,4715
CD3E,Vitamin C,Effector CD8 T cell,-1.7195772e-06,3.1034676e-07,4715
CD3E,D-Glucose,Gamma delta T cell,0.0007611038,0.0001249503,2417
CD3E,D-Galactose|D-Mannose,Gamma delta T cell,0.000840905,0.00015815659,2417
CD3E,Glucosamine,Gamma delta T cell,5.0269186e-08,3.553141e-08,2417
CD3E,Docosahexaenoic acid|Dehydroascorbic acid,Gamma delta T cell,0.0008517108,0.00016455817,2417
CD3E,D-Xylose|D-Maltose,Gamma delta T cell,0.0005355421,0.00012915091,2417
CD3E,L-Glutamine,Gamma delta T cell,-0.0018956066,0.00024976916,2417
CD3E,L-Alanine|L-Asparagine|L-Threonine,Gamma delta T cell,-3.217869e-05,1.10586225e-05,2417
CD3E,L-Cysteine,Gamma delta T cell,-0.0002111188,5.3923995e-05,2417
