gene,tf,cell_type,mean,std,n
CD3E,ARID3B,Effector CD8 T cell,0.38362557,0.02207039,4715
CD3E,BCL6,Effector CD8 T cell,-2.2465808,0.14035599,4715
CD3E,BCL6B,Effector CD8 T cell,-0.48910102,0.030588297,4715
CD3E,CTCF,Effector CD8 T cell,0.20308113,0.029442271,4715
CD3E,EHF,Effector CD8 T cell,0.020583762,0.013687536,4715
CD3E,ELK4,Effector CD8 T cell,1.4704684,0.15008132,4715
CD3E,EP300,Effector CD8 T cell,0.2487753,0.050829034,4715
CD3E,ESRRA,Effector CD8 T cell,-0.3163594,0.24297853,4715
CD3E,ETV5,Effector CD8 T cell,-0.8612439,0.050573878,4715
CD3E,FLI1,Effector CD8 T cell,2.462147,0.13439092,4715
CD3E,FOXA1,Effector CD8 T cell,0.3759605,0.02336056,4715
CD3E,FOXD2,Effector CD8 T cell,0.07198285,0.069997735,4715
CD3E,FOXI1,Effector CD8 T cell,-0.030306065,0.0017498991,4715
CD3E,FOXJ2,Effector CD8 T cell,0.13506038,0.0349527,4715
CD3E,FOXL2,Effector CD8 T cell,0.17157993,0.010618147,4715
CD3E,FOXO1,Effector CD8 T cell,0.06704536,0.06846627,4715
CD3E,FOXO3,Effector CD8 T cell,-0.3473041,0.018803805,4715
CD3E,FOXO4,Effector CD8 T cell,2.8257513,0.18060283,4715
CD3E,GATA1,Effector CD8 T cell,-0.21727768,0.014575359,4715
CD3E,GATA2,Effector CD8 T cell,-0.6853288,0.0426198,4715
CD3E,GATA3,Effector CD8 T cell,2.2419643,0.35609072,4715
CD3E,HOXA5,Effector CD8 T cell,-0.5405676,0.1431107,4715
CD3E,HOXB4,Effector CD8 T cell,-0.41359967,0.14938536,4715
CD3E,HOXB6,Effector CD8 T cell,0.4263974,0.07552285,4715
CD3E,HOXB7,Effector CD8 T cell,-0.028579887,0.011745559,4715
CD3E,HOXB9,Effector CD8 T cell,0.011818313,0.015445504,4715
CD3E,IRX1,Effector CD8 T cell,-1.6072139,0.11380798,4715
CD3E,MECOM,Effector CD8 T cell,0.45473906,0.028078904,4715
CD3E,MEF2A,Effector CD8 T cell,-1.2554755,0.19932063,4715
CD3E,MYEF2,Effector CD8 T cell,-0.19479464,0.15905827,4715
CD3E,NR3C1,Effector CD8 T cell,-0.6656961,0.16512205,4715
CD3E,PDX1,Effector CD8 T cell,0.34449244,0.019777723,4715
CD3E,PITX1,Effector CD8 T cell,0.09037447,0.032247737,4715
CD3E,POU1F1,Effector CD8 T cell,-0.35103032,0.022009358,4715
CD3E,POU2F1,Effector CD8 T cell,-0.2036808,0.07123504,4715
CD3E,PPARGC1A,Effector CD8 T cell,-0.4628065,0.024844836,4715
CD3E,RUNX1,Effector CD8 T cell,0.023296893,0.025090087,4715
CD3E,SIN3A,Effector CD8 T cell,1.3214736,0.082388036,4715
CD3E,SMAD4,Effector CD8 T cell,-0.59115535,0.036188327,4715
CD3E,STAT1,Effector CD8 T cell,-0.13185418,0.018776711,4715
CD3E,STAT3,Effector CD8 T cell,-0.8486326,0.07616903,4715
CD3E,STAT5A,Effector CD8 T cell,0.43898442,0.026247913,4715
CD3E,STAT5B,Effector CD8 T cell,1.941673,0.12230903,4715
CD3E,TCF7L2,Effector CD8 T cell,-1.7152008,0.15311438,4715
CD3E,THRA,Effector CD8 T cell,0.81621045,0.3131643,4715
CD3E,THRB,Effector CD8 T cell,-0.85346377,0.12333104,4715
CD3E,ZBTB1,Effector CD8 T cell,2.4511938,0.15206541,4715
CD3E,ARID3B,Gamma delta T cell,0.38114697,0.035465054,2417
CD3E,BCL6,Gamma delta T cell,-2.2289681,0.24607934,2417
CD3E,BCL6B,Gamma delta T cell,-0.48541045,0.051761985,2417
CD3E,CTCF,Gamma delta T cell,0.202606,0.03227945,2417
CD3E,EHF,Gamma delta T cell,0.023964928,0.017898329,2417
CD3E,ELK4,Gamma delta T cell,1.4682904,0.18976289,2417
CD3E,EP300,Gamma delta T cell,0.24977843,0.054555506,2417
CD3E,ESRRA,Gamma delta T cell,-0.3572382,0.24046972,2417
CD3E,ETV5,Gamma delta T cell,-0.8551791,0.087041214,2417
CD3E,FLI1,Gamma delta T cell,2.4427192,0.25582066,2417
CD3E,FOXA1,Gamma delta T cell,0.3727979,0.041911785,2417
CD3E,FOXD2,Gamma delta T cell,0.08478207,0.0692572,2417
CD3E,FOXI1,Gamma delta T cell,-0.029973269,0.004322987,2417
CD3E,FOXJ2,Gamma delta T cell,0.13642204,0.03653958,2417
CD3E,FOXL2,Gamma delta T cell,0.17012036,0.019307446,2417
CD3E,FOXO1,Gamma delta T cell,0.077480786,0.0692463,2417
