,Cell Type 1,Cell Type 2,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
13,T Cell,T Cell,SLC38A7,SLC3A2,181.80682,1.957403139206489,0.025150044855409687,0.07377202013038356,0.02928512377495865,315.25513,0.017982017982017984,0.03460690253143083,0.2610016784875756,True
36,T Cell,T Cell,CUBN,SLC11A2,582.31213,6.269399438860112,1.8122163820205747e-10,9.242303548304932e-10,0.14746691373921184,2590.4458,0.000999000999000999,0.0025316298608224074,6.560922691688868,True
43,T Cell,T Cell,SLC12A2,SLC1A5,131.29504,1.4135736267072732,0.07874356469258964,0.20205895845645644,0.021923373502205922,179.2394,0.015984015984015984,0.030907481144447965,0.08804641499267517,True
50,T Cell,T Cell,SLC1A5,SLC29A1,167.24008,1.800571916797514,0.03588518942705645,0.10167470337665993,0.025625857026728777,238.37717,0.008991008991008992,0.01862097293569375,0.03575144459160026,True
55,T Cell,T Cell,SLC1A5,SLC5A3,97.94384,1.054501563806682,0.14582667251892562,0.34391492709665694,0.015007735073772564,586.22906,0.02097902097902098,0.03926348880477321,0.0879217427539546,True
59,T Cell,T Cell,SLC29A1,SLC5A3,126.20827,1.3588074053845913,0.08710381304546239,0.21937256618857195,0.030133269858230536,457.11688,0.002997002997002997,0.006718556169105619,0.10541221346947156,True
67,T Cell,T Cell,CPT1A,MSR1,145.7321,1.5690086157907497,0.05832296573004663,0.15863846678572682,0.023831199253363765,1779.3585,0.003996003996003996,0.00876542812026683,0.2872609981901662,True
82,T Cell,T Cell,ABCC3,FOLR2,174.83914,1.882386359778827,0.029891788279369537,0.08588626491537163,0.026264700616947988,108.01788,0.023976023976023976,0.044464626282808103,1.1351636526571116,True
92,T Cell,T Cell,CD38,CD38,167.48857,1.8032472503315466,0.03567469642664291,0.10167470337665993,0.025332138161223237,1582.0461,0.002997002997002997,0.006718556169105619,0.11689435129824122,True
109,T Cell,T Cell,ATP7A,TAP1,60.192112,0.6480517425366158,0.2584757423061078,0.5144297700531316,0.009780143330110916,7783.9688,0.001998001998001998,0.004767162661899504,3.106829254554919,True
149,T Cell,other,SLC38A7,SLC3A2,1184.8917,6.062988989470316,6.680740780741401e-10,3.3240759006615752e-09,0.08850288170964773,2493.7512,0.000999000999000999,0.0025316298608224074,0.9807866610961078,True
151,T Cell,other,SLC38A7,SLC7A5,741.23193,3.7928200209248613,7.447305611992562e-05,0.0002712947044368719,0.055364689304379294,3765.3545,0.003996003996003996,0.00876542812026683,1.4809053243067876,True
152,T Cell,other,SLC43A2,SLC43A2,147.39041,0.7541840520179836,0.225369356222351,0.46206380572220707,0.011698682217275604,244.87717,0.012987012987012988,0.025597590814982123,0.08873502937810282,True
157,T Cell,other,SLC16A1,SLC16A4,859.13007,4.396094618851218,5.5107952583279e-06,2.2484044653977832e-05,0.07098250800483544,2542.2993,0.000999000999000999,0.0025316298608224074,0.43634149038897835,True
158,T Cell,other,SLC16A1,SLC22A5,807.1471,4.130102228418151,1.8130098075828536e-05,7.181631082464119e-05,0.06668760340879323,8122.845,0.000999000999000999,0.0025316298608224074,1.3941451993363678,True
160,T Cell,other,SLCO2B1,SLCO2B1,50.728977,0.25957581110291456,0.3975954984184591,0.7052998406727449,0.004241210713658648,753.3186,0.001998001998001998,0.004767162661899504,0.04024988541085903,True
170,T Cell,other,SLC39A8,SLC39A8,1213.4636,6.209188940149858,2.662937912430332e-10,1.3413316892241673e-09,0.08743538358449617,1466.0435,0.000999000999000999,0.0025316298608224074,0.1971865380579968,True
172,T Cell,other,CUBN,SLC11A2,4587.581,23.47425749383695,3.7372475316811646e-122,4.620596948260349e-121,0.2542811377541919,14116.013,0.000999000999000999,0.0025316298608224074,9.198722611421324,True
197,T Cell,other,SLC12A2,SLC22A5,918.46106,4.699686207916928,1.3028077292594132e-06,5.595216353029901e-06,0.061691998339648314,5569.8896,0.000999000999000999,0.0025316298608224074,1.0985714478859687,True
198,T Cell,other,SLC16A4,SLCO2B1,-551.66705,-2.8228328401920786,0.9976199308342882,1.0,-0.047154612091571964,2323.4492,0.012987012987012988,0.025597590814982123,0.3436296925154858,True
199,T Cell,other,CD36,MSR1,305.61044,1.5637823395321577,0.05893434654611332,0.1588159231164278,0.02524904306037365,1359.6201,0.015984015984015984,0.030907481144447965,0.34468098393078,True
200,T Cell,other,CD36,CD36,1021.7428,5.228169975271375,8.559804396480802e-08,3.924045161532772e-07,0.08441474589876259,2270.0493,0.000999000999000999,0.0025316298608224074,0.5754863597994241,True
201,T Cell,other,CD36,CPT1A,792.2487,4.053868518058196,2.5188769090805375e-05,9.78763598957009e-05,0.06545431431599796,1638.4408,0.000999000999000999,0.0025316298608224074,0.41536557050275147,True
202,T Cell,other,MSR1,MSR1,770.99634,3.945121916474281,3.987969378934021e-05,0.00015206462678552153,0.0659265384507591,728.2051,0.000999000999000999,0.0025316298608224074,0.024579420874008176,True
203,T Cell,other,CPT1A,MSR1,1881.0227,9.62503131920477,3.134391241024468e-22,1.937623676269671e-21,0.12439123749061157,13351.656,0.000999000999000999,0.0025316298608224074,0.9107956312664173,True
204,T Cell,other,CPT1A,CPT1A,246.71008,1.2623942652596418,0.10340347587510357,0.2556885948911652,0.016314833650813747,5084.443,0.000999000999000999,0.0025316298608224074,0.34683999256016396,True
207,T Cell,other,ABCA1,ABCA1,843.09204,4.314029425503733,8.015279785647033e-06,3.206111914258813e-05,0.06374288485075115,6179.653,0.000999000999000999,0.0025316298608224074,0.4391432480422431,True
218,T Cell,other,ABCC3,FOLR2,291.3968,1.4910522973328502,0.06797388251373346,0.1800866497766445,0.013749819602396652,431.645,0.000999000999000999,0.0025316298608224074,1.5018704101745537,True
224,T Cell,other,LRP1,LRP1,919.4964,4.704983950307538,1.2694296331083411e-06,5.5098647905128005e-06,0.06735275603610509,2740.0708,0.000999000999000999,0.0025316298608224074,0.31540991313144634,True
225,T Cell,other,SLC29A3,SLC29A3,86.59233,0.44308550608099556,0.328851944189795,0.6105317427531861,0.006781208899216644,236.39516,0.007992007992007992,0.01680793433370753,0.06394949632525478,True
