,Cell Type 1,Cell Type 2,metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,T Cell,T Cell,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",-0.8116749,-0.008738808317434664,0.5034862357459976,0.6277161810702917,0.0,0.000999000999000999,0.002247752247752248,False
1,T Cell,T Cell,17a-Ethynylestradiol,-80.03795,-0.4308598782133369,0.6667148709548184,0.7363456668769927,64.16004,0.8711288711288712,0.9376272582379452,False
2,T Cell,T Cell,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",-0.8116749,-0.008738808317434664,0.5034862357459976,0.6277161810702917,0.0,0.000999000999000999,0.002247752247752248,False
3,T Cell,T Cell,2-Hydroxychlorpropamide,-95.43861,-0.7265728938003164,0.7662561808601349,0.824749019093733,27.988874,0.942057942057942,0.9672099744915279,False
4,T Cell,T Cell,25-Hydroxycholesterol,-51.62405,-0.5558046487470757,0.7108277963954808,0.7783647114345796,179.73468,0.8451548451548452,0.9201107375914573,False
5,T Cell,T Cell,"3',4'-Dihydrodiol",-78.03797,-0.4200936115884542,0.6627914652985193,0.7339287691656379,64.16004,0.8711288711288712,0.9376272582379452,False
6,T Cell,T Cell,3-Sulfodeoxycholic acid,-0.8116749,-0.008738808317434664,0.5034862357459976,0.6277161810702917,0.0,0.000999000999000999,0.002247752247752248,False
7,T Cell,T Cell,"3alpha,7alpha-Dihydroxycoprostanic acid",-0.8116749,-0.008738808317434664,0.5034862357459976,0.6277161810702917,0.0,0.000999000999000999,0.002247752247752248,False
8,T Cell,T Cell,3b-Hydroxy-5-cholenoic acid,-0.8116749,-0.008738808317434664,0.5034862357459976,0.6277161810702917,0.0,0.000999000999000999,0.002247752247752248,False
9,T Cell,T Cell,4'-Hydroxydiclofenac,-99.67761,-0.47993533418307216,0.684363312325577,0.7538689612336434,631.3207,0.3776223776223776,0.47824630459360995,False
10,T Cell,T Cell,4-Hydroxycyclophosphamide,-96.280685,-1.03659539300274,0.850037769368631,0.8540759535461542,27.988874,0.942057942057942,0.9672099744915279,False
11,T Cell,T Cell,4-ene-Valproic acid,-144.5089,-0.8982641277114217,0.8154776238838815,0.8540759535461542,47.832424,0.7612387612387612,0.8385520729270729,False
12,T Cell,T Cell,5-Hydroxyomeprazole,-96.280685,-1.03659539300274,0.850037769368631,0.8540759535461542,27.988874,0.942057942057942,0.9672099744915279,False
13,T Cell,T Cell,5-Methyltetrahydrofolic acid,2.2967927,0.02472816607252312,0.490135894334627,0.6277161810702917,0.0,0.001998001998001998,0.004334127411050488,False
14,T Cell,T Cell,8-Hydroxycarvedilol,-96.280685,-1.03659539300274,0.850037769368631,0.8540759535461542,27.988874,0.942057942057942,0.9672099744915279,False
15,T Cell,T Cell,ADP,-75.978874,-0.5784262015339026,0.7185117957775673,0.7796899149085892,28.735685,0.7432567432567433,0.8230303727685927,False
16,T Cell,T Cell,Acetate,10.044388,0.048362480925652145,0.4807136800905074,0.6277161810702917,1147.4609,0.06693306693306693,0.10295522659159022,False
17,T Cell,T Cell,Acetyl-L-Carnitine,-10.756577,-0.11580949631449786,0.5460982379051238,0.6277161810702917,0.0,0.14585414585414586,0.20096515861988173,False
18,T Cell,T Cell,Adenine,-82.10516,-0.8839761986244107,0.8116454692839709,0.8540759535461542,0.0,0.5474525474525475,0.6275675543968227,False
19,T Cell,T Cell,Adenosine,80.4945,0.866635158146356,0.19307097174339793,0.3240834168549894,360.62204,0.04795204795204795,0.07484766156352872,False
20,T Cell,T Cell,Adenosine diphosphate ribose,167.48857,1.8032472503315466,0.03567469642664291,0.07361169067546318,1582.0461,0.002997002997002997,0.0063705139082023505,True
21,T Cell,T Cell,Adenosine triphosphate,95.2063,0.4584065146418121,0.3233302060806797,0.4973406442622818,8417.138,0.002997002997002997,0.0063705139082023505,True
22,T Cell,T Cell,Adenosylcobalamin,-8.735502,-0.09404982256565401,0.5374652102929927,0.6277161810702917,0.0,0.11488511488511488,0.16815364566229618,False
23,T Cell,T Cell,Amiloride-sensitive sodium transport,-6.182144,-0.03842807255711168,0.5153268105782157,0.6277161810702917,0.0,0.000999000999000999,0.002247752247752248,False
24,T Cell,T Cell,Anion exchange,-100.04206,-1.0770918271736638,0.8592803780399536,0.8613165874665886,17.679125,0.7882117882117882,0.8660093153599647,False
25,T Cell,T Cell,Bilirubin,-37.211445,-0.40063292168314396,0.6556547982492508,0.727931705142869,0.0,0.18081918081918083,0.24514908168754326,False
26,T Cell,T Cell,Butyrate,-87.959404,-0.9470052331552271,0.8281819438485641,0.8540759535461542,47.832424,0.5894105894105894,0.664855144855145,False
27,T Cell,T Cell,Cadmium,72.88086,0.784663743645745,0.21632537281114878,0.3546729949578137,79.891785,0.4515484515484515,0.5457285571571285,False
28,T Cell,T Cell,Calcidiol,-11.088884,-0.08441953533671893,0.5336385621130807,0.6277161810702917,0.0,0.11588411588411589,0.16903096903096904,False
29,T Cell,T Cell,Calcium,-8.735502,-0.09404982256565401,0.5374652102929927,0.6277161810702917,0.0,0.11488511488511488,0.16815364566229618,False
