,Cell Type 1,Cell Type 2,metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
20,T Cell,T Cell,Adenosine diphosphate ribose,167.48857,1.8032472503315466,0.03567469642664291,0.07361169067546318,1582.0461,0.002997002997002997,0.0063705139082023505,True
21,T Cell,T Cell,Adenosine triphosphate,95.2063,0.4584065146418121,0.3233302060806797,0.4973406442622818,8417.138,0.002997002997002997,0.0063705139082023505,True
78,T Cell,T Cell,Iron,567.95166,2.3111729949527775,0.01041165068223837,0.022585273018394,3341.8247,0.000999000999000999,0.002247752247752248,True
119,T Cell,T Cell,Sodium,320.51248,0.735704999729537,0.2309551231535938,0.37146014104171166,3066.373,0.001998001998001998,0.004334127411050488,True
145,T Cell,other,25-Hydroxycholesterol,843.09204,4.314029425503733,8.015279785647033e-06,2.145862879321959e-05,6179.653,0.000999000999000999,0.002247752247752248,True
157,T Cell,other,Acetate,1530.6509,3.5026702734960216,0.00023030963591843517,0.0005730645646676358,15467.499,0.000999000999000999,0.002247752247752248,True
159,T Cell,other,Adenine,86.59233,0.44308550608099556,0.328851944189795,0.5040013492474031,236.39516,0.007992007992007992,0.014958492834599029,True
160,T Cell,other,Adenosine,918.46106,4.699686207916928,1.3028077292594132e-06,3.578491360238518e-06,5569.8896,0.000999000999000999,0.002247752247752248,True
161,T Cell,other,Adenosine diphosphate ribose,1065.455,5.451841327349838,2.4925463683974805e-08,7.695964334541126e-08,4547.6235,0.000999000999000999,0.002247752247752248,True
162,T Cell,other,Adenosine triphosphate,1526.3307,3.4927841506691615,0.00023900636256984537,0.0005912262653043544,39699.098,0.000999000999000999,0.002247752247752248,True
166,T Cell,other,Bilirubin,305.22443,1.5618071245495833,0.059166716455139774,0.11917867171678155,181.23767,0.013986013986013986,0.025174825174825173,True
168,T Cell,other,Cadmium,1213.4636,6.209188940149858,2.662937912430332e-10,8.2825201246914e-10,1466.0435,0.000999000999000999,0.002247752247752248,True
174,T Cell,other,Chloride,1050.7124,2.6882024743065087,0.003591891128527217,0.00812497298057226,6364.911,0.016983016983016984,0.03043989908396688,True
176,T Cell,other,Cholesterol,842.8027,2.4898511851740004,0.00638982963151072,0.014151298084445207,1794.9907,0.000999000999000999,0.002247752247752248,True
179,T Cell,other,Citric acid,807.1471,4.130102228418151,1.8130098075828536e-05,4.79314467879717e-05,8122.845,0.000999000999000999,0.002247752247752248,True
185,T Cell,other,Cytidine,918.46106,4.699686207916928,1.3028077292594132e-06,3.578491360238518e-06,5569.8896,0.000999000999000999,0.002247752247752248,True
198,T Cell,other,Estradiol,1260.5815,3.7240750985416113,9.801628518167665e-05,0.00024679100376100724,11323.728,0.000999000999000999,0.002247752247752248,True
201,T Cell,other,Ethanol,1050.792,3.104303972781085,0.0009536363386037546,0.0022286639294441337,6096.475,0.000999000999000999,0.002247752247752248,True
202,T Cell,other,Fatty acid,5018.331,10.483149910425068,5.1623270460390854e-26,1.7610196294149462e-25,24432.414,0.000999000999000999,0.002247752247752248,True
203,T Cell,other,Folic acid,508.52905,1.06230263319144,0.14404915969816579,0.26608207228089137,614.93823,0.000999000999000999,0.002247752247752248,True
204,T Cell,other,Folinic acid,681.0111,2.0118781880972807,0.02211638959897175,0.04748849137241142,433.01294,0.001998001998001998,0.004334127411050488,True
205,T Cell,other,Fusidic Acid,305.22443,1.5618071245495833,0.059166716455139774,0.11917867171678155,181.23767,0.013986013986013986,0.025174825174825173,True
212,T Cell,other,Guanosine,918.46106,4.699686207916928,1.3028077292594132e-06,3.578491360238518e-06,5569.8896,0.000999000999000999,0.002247752247752248,True
213,T Cell,other,Heme,906.41205,3.2795841997792765,0.0005198009136088785,0.0012492942412304297,2740.0708,0.000999000999000999,0.002247752247752248,True
218,T Cell,other,Inosine,918.46106,4.699686207916928,1.3028077292594132e-06,3.578491360238518e-06,5569.8896,0.000999000999000999,0.002247752247752248,True
219,T Cell,other,Iron,5540.8726,10.716112270143917,4.2761506300313034e-27,1.4705786313034484e-26,24529.291,0.000999000999000999,0.002247752247752248,True
223,T Cell,other,L-Arginine,741.23193,3.7928200209248613,7.447305611992562e-05,0.0001897717032453526,3765.3545,0.003996003996003996,0.008245413123461904,True
232,T Cell,other,L-Histidine,741.23193,3.7928200209248613,7.447305611992562e-05,0.0001897717032453526,3765.3545,0.003996003996003996,0.008245413123461904,True
233,T Cell,other,L-Isoleucine,147.39041,0.7541840520179836,0.225369356222351,0.36525378422243093,244.87717,0.012987012987012988,0.023781413391803004,True
234,T Cell,other,L-Lactate,1275.1708,3.7671753653263993,8.255251375942643e-05,0.00020910007976190047,5021.204,0.003996003996003996,0.008245413123461904,True
236,T Cell,other,L-Methionine,888.6223,3.215217303641896,0.0006517290481210821,0.001548771839074257,4010.2317,0.003996003996003996,0.008245413123461904,True
237,T Cell,other,L-Phenylalanine,888.6223,3.215217303641896,0.0006517290481210821,0.001548771839074257,4010.2317,0.003996003996003996,0.008245413123461904,True
240,T Cell,other,L-Tyrosine,741.23193,3.7928200209248613,7.447305611992562e-05,0.0001897717032453526,3765.3545,0.003996003996003996,0.008245413123461904,True
241,T Cell,other,L-Valine,147.39041,0.7541840520179836,0.225369356222351,0.36525378422243093,244.87717,0.012987012987012988,0.023781413391803004,True
245,T Cell,other,Manganese,1213.4636,6.209188940149858,2.662937912430332e-10,8.2825201246914e-10,1466.0435,0.000999000999000999,0.002247752247752248,True
250,T Cell,other,Neurotransmitter,658.9795,1.9467912496366784,0.025779883228423516,0.05425318709265247,2364.745,0.000999000999000999,0.002247752247752248,True
