cell_type,gene_pair,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
CD8 T Cell,SLC2A1_SLC2A1,9364,0.007261853908586074,0.10096766226972419,13.903841021966135,1.6702337995872332,-2.276511743397794
CD8 T Cell,SLC2A9_SLC2A9,9364,0.00021358393848782572,0.002260169171266452,10.58211205986953,2.7999713158254016,-2.9362518257381747
CD8 T Cell,SLC2A3_SLC2A3,9364,0.03278513455788125,1.3326245536912826,28.514378201422943,0.9394836957901943,-0.8812774317877787
CD8 T Cell,SLC2A1_SLC2A3,9364,0.00149508756941478,0.7770844972204132,109.80473110573521,1.934178247815638,-1.478779060138934
CD8 T Cell,SLC2A1_SLC2A9,9364,0.0017086715079026058,0.06262116220211897,30.280276343519496,2.802871087177612,-0.423917125104416
CD8 T Cell,SLC1A5_SLC3A2,9364,0.0009611277231952157,0.7274003925404832,62.10795640937972,2.0266813945509035,-0.9976523704023179
CD8 T Cell,SLC38A7_SLC3A2,9364,0.00042716787697565144,0.14560573929433657,61.54568950499598,2.263969424322414,-2.8305423845670594
CD8 T Cell,SLC3A2_SLC7A5,9364,0.0017086715079026058,0.7014032276743042,70.79071687209807,2.075389800603184,-1.1642339287702599
CD8 T Cell,SLC1A5_SLC1A5,9364,0.020717642033319095,0.2645219607496674,12.506009424455156,1.3893052311375487,-1.0621868127631615
CD8 T Cell,SLC7A5_SLC7A5,9364,0.014310123878684322,0.4564721970108068,23.02256734580771,0.950098074334681,-2.5088346373730053
CD8 T Cell,SLC1A5_SLC38A7,9364,0.00149508756941478,0.19578510485396067,38.27328046453459,2.58110957953329,-0.03159970232565555
CD8 T Cell,SLC1A5_SLC7A5,9364,0.002349423323366083,0.7568775552579307,67.88229791427779,2.149781028482354,-0.07737956287305223
CD8 T Cell,SLC38A7_SLC38A7,9364,0.0017086715079026058,0.015448548847167603,9.04126321280484,2.0774040185373974,-2.556073083670982
CD8 T Cell,SLC38A7_SLC7A5,9364,0.0008543357539513029,0.15229024472984587,54.976575730118434,2.3653233782711576,-2.378474154343249
CD8 T Cell,SLC3A2_SLC3A2,9364,0.013882956001708672,0.347104918421328,19.27873103695465,0.9825301394372756,-2.143956675506094
CD8 T Cell,SLC7A7_SLC7A7,9364,0.019222554463904314,0.3050272833309052,15.868197117281088,1.906234643734245,-0.13697632977662158
CD8 T Cell,SLC43A2_SLC43A2,9364,0.002349423323366083,0.033840516960587326,14.403754582679078,2.3529038715309336,-1.7263974577635557
CD8 T Cell,SLC1A5_SLC7A11,9364,0.00021358393848782572,0.0026982286427863983,12.633106505525916,2.9130583713002114,-1.6221432353101115
CD8 T Cell,SLC7A11_SLC7A11,9364,0.0,0.0,,2.980680860226883,-inf
CD8 T Cell,SLC16A1_SLC16A1,9364,0.008329773601025202,0.11570623234672776,12.848536904599726,1.2918123093663385,-2.6576939879179813
CD8 T Cell,SLC16A1_SLC16A4,9364,0.0009611277231952157,0.33672844412169584,72.01312082190493,2.2632560302918407,-2.298047303740039
CD8 T Cell,SLC16A4_SLC16A4,9364,0.011319948739854762,0.2856022324785673,21.60088459544557,0.9941560602466369,-2.928687170861287
CD8 T Cell,SLC16A1_SLC22A5,9364,0.0005339598462195643,0.07337695180599216,26.669890545142426,2.691500696375606,-1.9549479194480794
CD8 T Cell,SLC22A5_SLCO2B1,9364,0.0005339598462195643,0.17163262652386915,88.14068690130841,2.049286110796819,-1.9173102620847142
CD8 T Cell,SLCO2B1_SLCO2B1,9364,0.026377616403246477,0.9522924654547281,29.177505961130304,1.0200608352926606,-1.012662925772632
CD8 T Cell,SLC22A5_SLC22A5,9364,0.001388295600170867,0.011352513193164276,8.17730258006079,2.076373249851294,-3.168604566648358
CD8 T Cell,SLC16A1_SLC1A5,9364,0.0010679196924391287,0.2523007294029104,53.20335512735308,2.188986870022312,-0.7201183948734089
CD8 T Cell,SLC3A2_SLC7A11,9364,0.0005339598462195643,0.019014670229422194,22.744681529083458,2.92131540364799,-0.4658012061407239
CD8 T Cell,SLC16A1_SLC7A11,9364,0.0005339598462195643,0.007294958297353722,13.661997899284051,2.9476609341233857,-1.033276280133039
CD8 T Cell,SLC16A1_SLC3A2,9364,0.0006407518154634772,0.33497999173935467,66.7105286651,2.0465501080013055,-2.1852793735780893
CD8 T Cell,SLC1A3_SLC1A3,9364,0.0019222554463904314,0.021825086515185294,11.35389500712195,2.4177273853018244,-1.7306049020619008
CD8 T Cell,SLC1A1_SLC1A1,9364,0.0,0.0,,2.996222743708378,-inf
CD8 T Cell,SLC1A1_SLC1A2,9364,0.0,0.0,,2.9980653377030273,-inf
CD8 T Cell,SLC39A8_SLC39A8,9364,0.010679196924391286,0.1696491995346775,15.8859510444272,1.6481039555302877,-1.5850173613387786
CD8 T Cell,SLC30A8_SLC30A8,9364,0.0,0.0,,2.9990195836937312,-inf
CD8 T Cell,CUBN_CUBN,9364,0.0005339598462195643,0.004857833381085836,9.097750356097555,2.5628206038126926,-3.1019890302170534
CD8 T Cell,CUBN_SLC3A2,9364,0.00042716787697565144,0.09694853447170917,69.53916910787058,2.4047163808883436,-2.2005924290725933
CD8 T Cell,SLC11A2_SLC3A2,9364,0.0011747116616830414,0.7085023441040266,68.83746048541086,1.924734108394814,-0.7861482652086059
CD8 T Cell,SLC40A1_SLC40A1,9364,0.05798803929944468,1.8179420792183072,31.28608682963532,1.5162824098627257,0.10916064878908209
CD8 T Cell,SLC11A2_SLC11A2,9364,0.01345578812473302,0.4099479919945656,21.942963608917,0.9341504219386029,-2.0927283957625322
CD8 T Cell,CUBN_SLC11A2,9364,0.00021358393848782572,0.10132093079758663,61.011003172862445,2.3167004884618425,-3.02739971379637
CD8 T Cell,SLC16A9_SLC16A9,9364,0.0,0.0,,2.996287038880456,-inf
CD8 T Cell,SLC12A2_SLC5A3,9364,0.0008543357539513029,0.26928978441694434,71.71283586746246,2.2141621881823,-1.7569857775969784
CD8 T Cell,SLC12A2_SLC1A5,9364,0.0005339598462195643,0.1783128934038418,54.78634371135572,2.2602085816521598,-1.541972886626128
CD8 T Cell,SLC5A1_SLC5A5,9364,0.0,0.0,,2.9977121347490394,-inf
CD8 T Cell,SLC10A1_SLC10A1,9364,0.0,0.0,,3.000176896791119,-inf
CD8 T Cell,SLC5A3_SLC5A3,9364,0.02093122597180692,0.377941424201199,16.19651363748125,1.1642037155377751,-1.2764968732424038
CD8 T Cell,SLC12A2_SLC12A2,9364,0.006087142246903033,0.05541811265595869,9.104126437024512,1.5915292519559374,-2.5822632944089547
CD8 T Cell,SLC22A5_SLC29A1,9364,0.00021358393848782572,0.10615354879931808,63.147618148168704,2.1858999253793714,-4.745845219991779
CD8 T Cell,SLC10A1_SLC6A2,9364,0.0,0.0,,3.0001830898653377,-inf
CD8 T Cell,SLC1A5_SLC29A1,9364,0.0018154634771465185,1.0542845982622333,85.32530024449025,1.9293291218675601,-0.5826148711234742
CD8 T Cell,SLC5A7_SLC5A7,9364,0.0,0.0,,3.0001447492050803,-inf
CD8 T Cell,SLC22A5_SLC5A3,9364,0.00021358393848782572,0.05058858355697635,49.66427076590273,2.339263608478204,-3.721028899820569
CD8 T Cell,SLC1A5_SLC22A5,9364,0.0018154634771465185,0.13123709428027566,34.06829118352317,2.6439957746655933,0.11253054734810496
CD8 T Cell,SLC12A2_SLC29A1,9364,0.0010679196924391287,0.4226031508179624,73.07306275387751,2.036663905123701,-2.2953329190430027
CD8 T Cell,SLC1A5_SLC5A3,9364,0.00149508756941478,0.6317759914241634,62.90260094586506,2.112905193642679,-0.3400445678493958
CD8 T Cell,SLC6A4_SLC6A4,9364,0.0,0.0,,2.999065073733488,-inf
CD8 T Cell,SLC29A1_SLC29A1,9364,0.013989747970952584,0.6607908337883268,31.017051015880156,0.7722577981978764,-2.6491240627985797
CD8 T Cell,SLC5A5_SLC5A5,9364,0.0,0.0,,2.9981194512846536,-inf
CD8 T Cell,SLC29A1_SLC5A3,9364,0.0005339598462195643,0.5865036607608125,76.87151497888374,1.9794027740158042,-1.9109407372089868
CD8 T Cell,SLC5A1_SLC5A1,9364,0.0,0.0,,2.944743871051587,-inf
CD8 T Cell,SLC12A2_SLC22A5,9364,0.0006407518154634772,0.03936668672306158,27.455629476899674,2.7210840672807657,-1.925759451920532
CD8 T Cell,SLC16A4_SLCO2B1,9364,0.0008543357539513029,0.5542047628324364,75.45515737503851,1.6627074808856885,-0.7436067477957787
CD8 T Cell,CD36_MSR1,9364,0.0024562152926099956,0.5168086781760417,102.64470232065626,2.1126942715893535,-1.2312025816232874
CD8 T Cell,CD36_CD36,9364,0.008116189662537377,0.18201164696908415,22.425750818664525,1.9173829462634735,-1.935013283632441
CD8 T Cell,CD36_CPT1A,9364,0.0012815036309269544,0.1786247549876492,48.189955980073,2.5195958299069683,-1.089822214330185
CD8 T Cell,MSR1_MSR1,9364,0.05756087142246903,1.6466580014709613,27.692211041269903,1.361108201615091,-0.04892437813312736
CD8 T Cell,CPT1A_MSR1,9364,0.00598035027765912,1.2349799408681912,83.68341267556158,2.0640671625339495,0.8172362243406939
CD8 T Cell,CPT1A_CPT1A,9364,0.012281076463049979,0.15941340297573856,12.980409612737528,1.9319766829314866,-0.3477395862087475
CD8 T Cell,SLC6A1_SLC6A1,9364,0.0,0.0,,2.9963191864664958,-inf
CD8 T Cell,SLCO1C1_SLCO1C1,9364,0.0,0.0,,2.9986659602473074,-inf
CD8 T Cell,ABCA1_ABCA1,9364,0.017620674925245623,0.6879953218255145,30.06941599153747,0.9727328291674268,-1.5469606013291801
CD8 T Cell,ABCB1_ABCB1,9364,0.0018154634771465185,0.020573076579652384,11.332134652462642,2.8875796814305947,0.3528448766818152
CD8 T Cell,ABCG2_CD36,9364,0.0,0.0007232266411933758,,2.9311452754959824,-inf
CD8 T Cell,ATP7A_ATP7A,9364,0.005446390431439556,0.051800683103393946,9.511011697650606,1.729621613552242,-2.303460799926403
