cell_type,metabolite,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
CD8 T Cell,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",9364,0.0,0.0,,3.000176896791119,-inf
CD8 T Cell,17a-Ethynylestradiol,9364,0.0026697992310978215,0.1252712199587331,16.2087450269109,1.878492534936145,-2.840296042463061
CD8 T Cell,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",9364,0.0,0.0,,3.000176896791119,-inf
CD8 T Cell,2-Hydroxychlorpropamide,9364,0.0018154634771465185,0.020573076579652384,11.332134652462642,2.8624240546205915,-1.394005306416235
CD8 T Cell,25-Hydroxycholesterol,9364,0.01569841947885519,0.6879953218255145,31.618717804006454,0.9727328291674268,-1.4576786696089954
CD8 T Cell,"3',4'-Dihydrodiol",9364,0.0026697992310978215,0.1252712199587331,16.2087450269109,1.8783028492058225,-2.846317036765944
CD8 T Cell,3-Sulfodeoxycholic acid,9364,0.0,0.0,,3.000176896791119,-inf
CD8 T Cell,"3alpha,7alpha-Dihydroxycoprostanic acid",9364,0.0,0.0,,3.000176896791119,-inf
CD8 T Cell,3b-Hydroxy-5-cholenoic acid,9364,0.0,0.0,,3.000176896791119,-inf
CD8 T Cell,4'-Hydroxydiclofenac,9364,0.005019222554463905,0.5159098263418642,27.688242264537205,1.3248748149658376,-0.18453050512582742
CD8 T Cell,4-Hydroxycyclophosphamide,9364,0.0018154634771465185,0.020573076579652384,11.332134652462642,2.8875796814305947,0.3528448766818152
CD8 T Cell,4-ene-Valproic acid,9364,0.00149508756941478,0.20043569734588418,30.596076233232775,1.18629625152392,-3.0841045670993212
CD8 T Cell,5-Hydroxyomeprazole,9364,0.0018154634771465185,0.020573076579652384,11.332134652462642,2.8875796814305947,0.3528448766818152
CD8 T Cell,5-Methyltetrahydrofolic acid,9364,0.0,0.0,,2.9999518636888487,-inf
CD8 T Cell,8-Hydroxycarvedilol,9364,0.0018154634771465185,0.020573076579652384,11.332134652462642,2.8875796814305947,0.3528448766818152
CD8 T Cell,ADP,9364,0.00149508756941478,0.06152765858122609,17.48898403436096,1.7030439907691126,-2.3501687851231035
CD8 T Cell,Acetate,9364,0.0021358393848782574,2.244534137234156,94.6353070710704,0.591463026145675,-2.89408569383529
CD8 T Cell,Acetyl-L-Carnitine,9364,0.001388295600170867,0.011352513193164276,8.17730258006079,2.076373249851294,-3.168604566648358
CD8 T Cell,Adenine,9364,0.0021358393848782574,0.025872442009055318,12.1134773486397,2.6176939779890755,-0.4787790601389342
CD8 T Cell,Adenosine,9364,0.012921828278513455,0.6607908337883268,31.91475595570117,0.7722577981978764,-2.55384698691442
CD8 T Cell,Adenosine diphosphate ribose,9364,0.03791114908158907,0.6690769017218147,17.64855241612133,2.0414527533081954,1.0016704669281793
CD8 T Cell,Adenosine triphosphate,9364,0.003630926954293037,5.675919414824682,111.5198733130217,0.7228267909401807,-0.817080124760497
CD8 T Cell,Adenosylcobalamin,9364,0.0005339598462195643,0.004857833381085836,9.097750356097555,2.5628206038126926,-3.1019890302170534
CD8 T Cell,Amiloride-sensitive sodium transport,9364,0.0,0.0,,2.895380320832868,-inf
CD8 T Cell,Anion exchange,9364,0.004912430585219991,0.0650540617629922,12.985770631648462,1.4476393716851061,-3.1391301814645973
CD8 T Cell,Bilirubin,9364,0.002349423323366083,0.020080661602259353,8.547059783798026,1.9592748945183258,-3.0037871565744196
CD8 T Cell,Butyrate,9364,0.007368645877829988,0.11570623234672776,13.622501587663693,1.2918123093663385,-2.5715373441682665
CD8 T Cell,Cadmium,9364,0.010572404955147373,0.1696491995346775,16.023460109381638,1.6481039555302877,-1.583828750068364
CD8 T Cell,Calcidiol,9364,0.0005339598462195643,0.004857833381085836,9.097750356097555,2.5624941890802773,-3.1241847763312496
CD8 T Cell,Calcium,9364,0.0005339598462195643,0.004857833381085836,9.097750356097555,2.5628206038126926,-3.1019890302170534
CD8 T Cell,Calcium release-activated calcium transport,9364,0.0019222554463904314,0.3333278098283275,43.09786603160481,1.3573475698269832,-0.6980920885434101
CD8 T Cell,Chenodeoxycholic acid,9364,0.0,0.0,,3.000176896791119,-inf
CD8 T Cell,Chenodeoxycholic acid 3-sulfate,9364,0.0,0.0,,3.000176896791119,-inf
CD8 T Cell,Chloride,9364,0.005553182400683468,0.8506225220962156,50.56476744567332,0.723864020681273,-3.045405501850686
CD8 T Cell,Chloride ion,9364,0.0066211020931225975,0.061368398379192966,9.268607781012305,1.5805790218983897,-2.466221673926541
CD8 T Cell,Cholesterol,9364,0.009931653139683895,0.20330795018992986,20.397885497960953,1.8915038242274202,-1.709975969914499
CD8 T Cell,Cholic acid,9364,0.003844510892780863,0.650085976187806,37.66024510938441,1.2043419602363117,-0.728594176940754
CD8 T Cell,Choline,9364,0.001388295600170867,0.011352513193164276,8.17730258006079,2.0763149537400056,-3.170656764776602
CD8 T Cell,Citric acid,9364,0.023173857325929092,0.9522924654547281,30.949916017430592,1.0200608352926606,-0.94202145966626
CD8 T Cell,Cobalamin,9364,0.0005339598462195643,0.004857833381085836,9.097750356097555,2.5628206038126926,-3.1019890302170534
CD8 T Cell,Coprocholic acid,9364,0.0,0.0,,3.000176896791119,-inf
CD8 T Cell,Cortisol,9364,0.0018154634771465185,0.020573076579652384,11.332134652462642,2.8875796814305947,0.3528448766818152
CD8 T Cell,Creatine,9364,0.001388295600170867,0.011352513193164276,8.17730258006079,2.076373249851294,-3.168604566648358
