,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
1,SLC2A1,SLC2A1,86583.7024881994,85.07668690108973,0.0,0.0,0.3191775039948834,113176.38547419535,0.000999001,0.003582624172599151,0.28104246615471606,True
3,SLC2A1,SLC2A9,22725.877143101075,14.694128890808075,3.5148333499582246e-49,3.951812631304382e-48,0.08377545120131556,15879.14248489414,0.000999001,0.003582624172599151,0.039431488695089056,True
5,SLC2A1,SLC2A3,-6672.327163218415,-3.7919051891899493,0.9999252520045926,1.0,-0.02459650798698021,155729.53045317234,0.000999001,0.003582624172599151,0.3867115132569282,True
7,SLC2A9,SLC2A9,7189.922151807829,7.064779377342204,8.043568848829254e-13,4.920771531048485e-12,0.011542698555061494,1701.1064318917402,0.000999001,0.003582624172599151,0.022077381116108814,True
11,SLC2A3,SLC2A3,77563.40669949217,76.21339209482228,0.0,0.0,0.15211578379644222,318006.0498851281,0.000999001,0.003582624172599151,0.2651317122536524,True
16,SLC1A5,SLC3A2,4464.548056218538,3.118938921119491,0.0009075179110021363,0.0036653150580280456,0.008442815129794895,179685.8704980406,0.000999001,0.003582624172599151,0.37188513745449175,True
17,SLC1A5,SLC38A7,2206.5045187597293,1.5414668487216936,0.06160160263711115,0.1884284315958694,0.004172675375057842,37986.34656777318,0.000999001,0.003582624172599151,0.07861807762399622,True
20,SLC1A5,SLC7A5,2861.173899495508,1.998819706464584,0.02281393239575017,0.07532218949707993,0.00541070719442436,199611.6548629321,0.000999001,0.003582624172599151,0.41312434584014524,True
21,SLC1A5,SLC1A5,8210.361856858592,8.067458020010278,3.5888436550488895e-16,2.5304389161022678e-15,0.01552644667126493,52812.870296451365,0.000999001,0.003582624172599151,0.10930365017084763,True
22,SLC38A7,SLC3A2,4360.778337842183,3.227316400573624,0.0006247860167717215,0.002548146891931727,0.009462060830784713,72868.54307599683,0.000999001,0.003582624172599151,0.4074273274661198,True
23,SLC38A7,SLC38A7,794.0414749253531,0.7802209423639608,0.2176304187399289,0.555424872366935,0.00172291920291171,7730.019192253007,0.000999001,0.003582624172599151,0.043220585012614145,True
24,SLC3A2,SLC3A2,15067.83775644422,14.80557747292151,6.7412067632631235e-50,7.789838926437388e-49,0.03447643118540404,184739.4846123972,0.000999001,0.003582624172599151,0.2236903669992972,True
25,SLC38A7,SLC7A5,5223.980500645053,3.9607094379251087,3.7363708940225767e-05,0.00017464385302397664,0.011335045591974673,81269.62929252791,0.000999001,0.003582624172599151,0.45440002597944046,True
27,SLC7A7,SLC7A7,34146.63552755135,33.55230298564617,4.1664726247593644e-247,1.019560359941115e-245,0.050466647112124355,36937.11652126191,0.000999001,0.003582624172599151,0.1001198024897455,True
28,SLC3A2,SLC7A5,36739.115929350235,27.189813880803293,4.2855618447775086e-163,8.103607851942925e-162,0.08406206800369287,422749.3009580206,0.000999001,0.003582624172599151,0.5118827005412684,True
29,SLC7A5,SLC7A5,29749.43439973247,29.231636476339162,3.843390643913368e-188,7.994252539339805e-187,0.0822988440762738,254883.36102972046,0.000999001,0.003582624172599151,0.29369417015812566,True
31,SLC43A2,SLC43A2,21651.142474520988,21.274297776844975,9.821617656182942e-101,1.5714588249892707e-99,0.03399253142426966,9657.704536870042,0.000999001,0.003582624172599151,0.05504514440192156,True
32,SLC1A5,SLC7A11,282.9485937351738,0.19766824560157947,0.42165231790202723,0.8949355318736905,0.0005350782740067296,3388.2240726759214,0.007992008,0.02577267621838769,0.00701240543567082,True
33,SLC7A11,SLC7A11,3632.2909410007105,3.5690698161504377,0.00017912547720058214,0.0007843810370046545,0.007708263521556985,219.68877521906091,0.000999001,0.003582624172599151,0.01455225091878894,True
36,SLC16A1,SLC16A1,12520.976487960525,12.303045096821851,4.361136818759633e-35,4.031628703564461e-34,0.02949935118530315,76253.54078229412,0.000999001,0.003582624172599151,0.15741625729351044,True
37,SLC16A1,SLC16A4,21179.189381387605,14.909749496858256,1.4240954608510829e-50,1.742422681511913e-49,0.04989805275829267,241658.26503622218,0.000999001,0.003582624172599151,0.49887440289039403,True
38,SLC16A4,SLC16A4,40653.40549043554,39.94582064499045,0.0,0.0,0.10674552894890878,243605.19090911085,0.000999001,0.003582624172599151,0.3079508163755769,True
39,SLCO2B1,SLCO2B1,27882.41713719746,27.397115215189938,1.4841989130473372e-165,2.9401273706080583e-164,0.055430002305038355,225722.16666308593,0.000999001,0.003582624172599151,0.2056227994152932,True
41,SLC16A1,SLC22A5,6133.287272273853,4.637884929248418,1.7599632582908305e-06,8.928594090841287e-06,0.014449990808554487,48713.90027258771,0.000999001,0.003582624172599151,0.10056398405122519,True
42,SLC22A5,SLCO2B1,-6459.205468228357,-4.302536170713573,0.9999915572952855,1.0,-0.01662545820607274,68419.63753605835,0.000999001,0.003582624172599151,0.4352057981589818,True
43,SLC22A5,SLC22A5,3858.83046950855,3.7916663554958037,7.48199305254796e-05,0.0003458343455399946,0.009932309013964679,9467.096133102368,0.000999001,0.003582624172599151,0.06021860502671098,True
48,SLC1A1,SLC1A2,16742.943011344934,7.478972652862291,3.7452928769584645e-14,2.360669449719275e-13,0.016982343241405982,119.05268097799171,0.003996004,0.013625718164639394,0.01060320312525753,True
50,SLC3A2,SLC7A11,2128.6864317560357,1.5753941385345014,0.05758274826266017,0.18010844569373408,0.004870606683321433,6766.327444829532,0.000999001,0.003582624172599151,0.008192954919988801,True
60,SLC16A1,SLC3A2,13382.834632916167,9.90434237901365,1.992917907846911e-23,1.5943343262775288e-22,0.03152988419639913,221320.5680704511,0.000999001,0.003582624172599151,0.4568896752898543,True
61,SLC16A1,SLC7A11,3455.000738500743,2.569790294894768,0.005088004682352049,0.018566753928582914,0.008139962584269368,4821.457440244176,0.000999001,0.003582624172599151,0.009953318588969966,True
62,SLC1A1,SLC1A1,1936.656525561137,1.902948431693286,0.028523637230697462,0.09270182099976675,0.0019643479545682365,77.4211033079905,0.014985015,0.0461760452500096,0.0068953649578704255,True
63,SLC16A1,SLC1A5,3438.3673692794023,2.4020477947853056,0.008151789062555944,0.028497010504397253,0.008100774458604654,112532.16458110537,0.000999001,0.003582624172599151,0.23230910973786786,True
65,SLC1A3,SLC1A3,20603.961838548268,20.245343637263367,1.9522558326213752e-91,2.900494379894615e-90,0.031959325784099026,7957.743597399009,0.000999001,0.003582624172599151,0.049207134656057354,True
70,SLC30A8,SLC30A8,14309.652697856767,14.06058885510027,3.3165983528744934e-45,3.537704909732793e-44,0.03134919981561798,179.9093707493065,0.000999001,0.003582624172599151,0.04167589451926156,True
71,SLC39A8,SLC39A8,51062.25297074369,50.1734989797679,0.0,0.0,0.08398956544168551,52079.162937316854,0.000999001,0.003582624172599151,0.13019917637737677,True
72,SLC11A2,SLC11A2,9336.55846527978,9.17405283508852,2.2778081098005998e-20,1.7228512248673627e-19,0.022007610501194767,202371.9714056868,0.000999001,0.003582624172599151,0.22072031976704987,True
77,SLC40A1,SLC40A1,95715.10941251693,94.0491589199721,0.0,0.0,0.15697210795837874,165287.49127536686,0.000999001,0.003582624172599151,0.21441239111202567,True
79,CUBN,SLC3A2,8013.370180687694,5.828989739157647,2.7881965901521866e-09,1.5261707651359337e-08,0.016827027144708153,40349.681534896576,0.000999001,0.003582624172599151,0.4841997649733756,True
83,SLC11A2,SLC3A2,12629.027126735393,9.346465977348963,4.531260275656041e-21,3.5566118390054965e-20,0.02976843245268392,365694.080217984,0.000999001,0.003582624172599151,0.3988502645004249,True
84,CUBN,SLC11A2,5758.972046651725,4.189122455484489,1.4001763202828772e-05,6.69509596824916e-05,0.012093086525338541,41384.33663452727,0.000999001,0.003582624172599151,0.4966157181361388,True
85,CUBN,CUBN,8699.66773450567,8.548247380538225,6.2485818689935655e-18,4.481741478450557e-17,0.018268162061359516,3679.5602034631765,0.000999001,0.003582624172599151,0.04415504950593962,True
97,SLC16A9,SLC16A9,8980.554282428955,8.82424501295241,5.510035928096145e-19,4.021359554540344e-18,0.01528821485552434,155.18854965219705,0.000999001,0.003582624172599151,0.01926738274018797,True
101,SLC12A2,SLC22A5,8147.318093618987,6.291636824080587,1.5706787540370814e-10,8.712031489059012e-10,0.019214366401442345,34124.10574516545,0.000999001,0.003582624172599151,0.1100700623905939,True
104,SLC12A2,SLC29A1,21948.368466013486,15.182883691296526,2.295721195169555e-52,2.8940000520925304e-51,0.051762308624005014,230495.06983886208,0.000999001,0.003582624172599151,0.7434804858287676,True
114,SLC10A1,SLC10A1,20717.284771098955,20.356694149822495,2.0250271143402798e-92,3.120041776168727e-91,0.012374372983765489,71.91935011359965,0.011988012,0.03721651523860533,0.014225587791913708,True
124,SLC5A7,SLC5A7,11854.867235990441,11.648529678293734,1.1672596362806611e-31,1.0116250181099062e-30,0.010626773495045148,27.205359655912616,0.008991009,0.02855159990660107,0.007920692329208846,True
137,SLC5A1,SLC5A1,23092.531823694248,22.69059930748109,2.773832586674509e-114,4.615657424226383e-113,0.15410638252532555,8865.771282669477,0.000999001,0.003582624172599151,0.29484673843258724,True
144,SLC22A5,SLC5A3,4973.225068619321,3.6773236479767255,0.00011784695786250457,0.000532873200769586,0.012800668121554892,58242.011709611426,0.000999001,0.003582624172599151,0.3704676333473377,True
145,SLC1A5,SLC5A3,2941.4665340154643,2.0549122425354414,0.019943740884179405,0.06637276966254906,0.005562546946399245,135918.54724518757,0.000999001,0.003582624172599151,0.2813025169134965,True
147,SLC29A1,SLC5A3,9130.839061267463,6.316299440928379,1.3395036420666099e-10,7.530182636482564e-10,0.02325928349293476,389703.5885137657,0.000999001,0.003582624172599151,0.30993492914956294,True
148,SLC12A2,SLC5A3,8561.104818401422,6.330289252373437,1.223510172409437e-10,6.972331941401725e-10,0.020190227371968274,111396.43115693826,0.000999001,0.003582624172599151,0.359318196324334,True
152,SLC6A4,SLC6A4,16149.866792466222,15.868773465586274,5.212921369357417e-57,6.995404160169953e-56,0.01616877864041194,110.22052505381816,0.000999001,0.003582624172599151,0.016927622270130675,True
154,SLC10A1,SLC6A2,33338.51440976743,13.302197398649938,1.1238209838342058e-40,1.0872314634303015e-39,0.019912996157035446,74.96662116753123,0.011988012,0.03721651523860533,0.014828335478523628,True
156,SLC12A2,SLC12A2,7064.818857593218,6.941853543884782,1.9349415533221624e-12,1.166573458234811e-11,0.016661435889674205,33532.05742825245,0.000999001,0.003582624172599151,0.10816036267076776,True
157,SLC5A1,SLC5A5,1742.7953381800542,1.2175565632183096,0.11169626470023042,0.3118499739281601,0.011630421778756863,301.3709421405921,0.002997003,0.010303745954489905,0.010022618057179836,True
166,SLC5A3,SLC5A3,9159.493709116177,9.000069944677918,1.1278696167662753e-19,8.37846001026376e-19,0.019940372913738555,105416.89738230215,0.000999001,0.003582624172599151,0.16362232227073872,True
167,SLC5A5,SLC5A5,5337.84879240221,5.2449419161586,7.816578459721466e-08,4.064620799055162e-07,0.009821196478564737,148.15518091564115,0.000999001,0.003582624172599151,0.021686419914758417,True
169,SLC22A5,SLC29A1,14993.292112112511,10.371677996947021,1.6680718079180834e-25,1.3878357441878453e-24,0.03859148816483415,121403.9949740791,0.000999001,0.003582624172599151,0.7722303776388433,True
170,SLC1A5,SLC22A5,1057.2317729400556,0.7385834543037328,0.2300799871330128,0.5800804524080808,0.00199930929085765,38739.028608783956,0.000999001,0.003582624172599151,0.08017585878678316,True
171,SLC1A5,SLC29A1,1924.5743609370593,1.3313330657176674,0.09153972141411093,0.272003743630501,0.0036395230442871447,265298.43008387915,0.000999001,0.003582624172599151,0.5490723497887949,True
