,Metabolite,C_p,Z,Z_pval,Z_FDR,C_np,pval_np,FDR_np,selected
0,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",24222.138518256004,3.927059944033711,4.299527771141895e-05,5.4597178046246284e-05,342.95830428796097,0.034965035,0.039397222055515775,True
1,17a-Ethynylestradiol,43819.62157602684,10.09108476937868,3.024861569444217e-24,7.014171755232967e-24,21144.959793665854,0.000999001,0.001389914394720741,True
2,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",24222.138518256004,3.927059944033711,4.299527771141895e-05,5.4597178046246284e-05,342.95830428796097,0.034965035,0.039397222055515775,True
3,2-Hydroxychlorpropamide,52434.21642940854,22.86612356895888,5.0509115088209987e-116,2.6069220690689023e-115,13055.938042818028,0.000999001,0.001389914394720741,True
4,25-Hydroxycholesterol,35418.24673169674,34.80178141133188,1.1429628464954888e-265,9.624950286277801e-265,236939.99476707337,0.000999001,0.001389914394720741,True
5,"3',4'-Dihydrodiol",38135.539964190364,9.549943227394854,6.488369091114672e-22,1.483055792254782e-21,21553.820538229473,0.000999001,0.001389914394720741,True
6,3-Sulfodeoxycholic acid,24222.138518256004,3.927059944033711,4.299527771141895e-05,5.4597178046246284e-05,342.95830428796097,0.034965035,0.039397222055515775,True
7,"3alpha,7alpha-Dihydroxycoprostanic acid",24222.138518256004,3.927059944033711,4.299527771141895e-05,5.4597178046246284e-05,342.95830428796097,0.034965035,0.039397222055515775,True
8,3b-Hydroxy-5-cholenoic acid,24222.138518256004,3.927059944033711,4.299527771141895e-05,5.4597178046246284e-05,342.95830428796097,0.034965035,0.039397222055515775,True
9,4'-Hydroxydiclofenac,46999.569940235706,9.002086980370967,1.1073349604858052e-19,2.495402727855336e-19,90783.41466997394,0.000999001,0.001389914394720741,True
10,4-Hydroxycyclophosphamide,12119.386213232427,11.908444622555676,5.347684420299319e-33,1.4502195038099848e-32,1363.6114226138593,0.000999001,0.001389914394720741,True
11,4-Hydroxyvalsartan,-782.1719794502973,-0.29247967279255643,0.6150400502431903,0.6189082266598142,0.0,0.2157842,0.21714134036370042,False
12,4-ene-Valproic acid,22513.09422974293,11.518236281197924,5.338708660137683e-31,1.4003170256098842e-30,134434.5371879842,0.000999001,0.001389914394720741,True
13,5-Hydroxyomeprazole,24877.64603628346,6.910493230190688,2.4148574435200725e-12,4.154593451217328e-12,2333.847227788581,0.000999001,0.001389914394720741,True
14,5-Methyltetrahydrofolic acid,15545.201395821192,15.27463245345638,5.643128328148555e-53,2.099768680241323e-52,53.522675351184716,0.006993007,0.009246951292368992,True
15,8-Hydroxycarvedilol,12119.386213232427,11.908444622555676,5.347684420299319e-33,1.4502195038099848e-32,1363.6114226138593,0.000999001,0.001389914394720741,True
16,ADP,7975.907647148504,4.122872287269799,1.8708858886663232e-05,2.8508737351105878e-05,30901.4520159057,0.000999001,0.001389914394720741,True
17,Acetate,57195.811441561396,18.428645592057126,3.8698274981256954e-76,1.629401051842398e-75,1265207.6413699868,0.000999001,0.001389914394720741,True
18,Acetyl-L-Carnitine,2706.9707630474,1.1061414230206434,0.13433265599068905,0.15136073914443837,9532.956410900273,0.000999001,0.001389914394720741,True
19,Acetylcholine,7192.823318578693,7.067630048426017,7.880101355011655e-13,1.3855123261558954e-12,26.61920390497926,0.04395604,0.04850321802599677,True
20,Adenine,7624.315427321268,7.491611906221787,3.401642053560974e-14,6.115311556963549e-14,3770.339588931713,0.000999001,0.001389914394720741,True
21,Adenosine,41724.00782774824,40.99778882410061,0.0,0.0,444750.7553044885,0.000999001,0.001389914394720741,True
22,Adenosine diphosphate ribose,94832.85722848843,93.1822626026354,0.0,0.0,41621.50175761456,0.000999001,0.001389914394720741,True
23,Adenosine triphosphate,60490.01377243194,18.729330739939964,1.427410928828442e-78,6.172587800339209e-78,639675.2071170791,0.000999001,0.001389914394720741,True
24,Adenosylcobalamin,8699.66773450567,8.548247380538225,6.2485818689935655e-18,1.298406622128533e-17,3679.5602034631765,0.000999001,0.001389914394720741,True
25,Amiloride-sensitive sodium transport,51661.899573907256,26.18369345028032,2.037898244548066e-151,1.1645132825988948e-150,18363.361870081557,0.000999001,0.001389914394720741,True
26,Ammonium,-352.3854036126148,-0.34625202884746753,0.6354233416284217,0.6354233416284217,0.0,0.2037962,0.20769038777442494,False
27,Anion exchange,11286.458186117512,4.733655891563255,1.102557265519694e-06,1.7127103153703984e-06,53631.08622630344,0.000999001,0.001389914394720741,True
28,Betaine,1670.3074870770783,1.641235278959919,0.05037429254648242,0.0579847971758071,77.27047946168432,0.16283716,0.16701247447576278,False
29,Bilirubin,5569.446169264573,2.082597991258993,0.018643941237758126,0.021616163753922463,15351.744023997097,0.000999001,0.001389914394720741,True
30,Butyrate,12520.976487960525,12.303045096821851,4.361136818759633e-35,1.3681997862775322e-34,76253.54078229412,0.000999001,0.001389914394720741,True
31,Cadmium,51062.25297074369,50.1734989797679,0.0,0.0,52079.162937316854,0.000999001,0.001389914394720741,True
32,Calcidiol,13348.727631691905,6.238669271011589,2.2065445639207598e-10,3.716285581340227e-10,3856.1383327379185,0.000999001,0.001389914394720741,True
33,Calcium,8699.66773450567,8.548247380538225,6.2485818689935655e-18,1.298406622128533e-17,3679.5602034631765,0.000999001,0.001389914394720741,True
34,Calcium release-activated calcium transport,14361.641365978412,7.005596231851466,1.2296811202391148e-12,2.1385758612854173e-12,80670.64517661312,0.000999001,0.001389914394720741,True
35,Chenodeoxycholic acid,24222.138518256004,3.927059944033711,4.299527771141895e-05,5.4597178046246284e-05,342.95830428796097,0.034965035,0.039397222055515775,True
36,Chenodeoxycholic acid 3-sulfate,24222.138518256004,3.927059944033711,4.299527771141895e-05,5.4597178046246284e-05,342.95830428796097,0.034965035,0.039397222055515775,True
