sample_id,metabolite,n_gene_pairs,transporter_genes,global_significant,global_FDR_np,n_sig_gene_pairs_global,Tier1_n_sig_pairs,Tier1_interactions,Tier1_within_Tcell,Tier1_Tcell_interfaces,Tier1_tcell_involved,Tier2_n_sig_pairs,Tier2_interactions,Tier2_within_Tcell,Tier2_Tcell_interfaces,Tier2_tcell_involved,Tier3_n_sig_pairs,Tier3_interactions,Tier3_within_Tcell,Tier3_Tcell_interfaces,Tier3_tcell_involved
Primary_Dermal_Melanoma,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0393972220555157,1,1,other (self) (2.2e-03),,,False,1,other (self) (2.2e-03),,,False,1,other (self) (1.3e-02),,,False
Primary_Dermal_Melanoma,17a-Ethynylestradiol,6,"ABCB1, ABCC2, SLC10A1",True,0.0013899143947207,4,1,other (self) (2.2e-03),,,False,1,other (self) (2.2e-03),,,False,1,other (self) (3.7e-03),,,False
Primary_Dermal_Melanoma,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0393972220555157,1,1,other (self) (2.2e-03),,,False,1,other (self) (2.2e-03),,,False,1,other (self) (1.3e-02),,,False
Primary_Dermal_Melanoma,2-Hydroxychlorpropamide,3,"ABCB1, SLC15A1",True,0.0013899143947207,2,1,other (self) (2.2e-03),,,False,1,other (self) (2.2e-03),,,False,2,Proliferating CD8 T cell–other (2.6e-02); other (self) (3.7e-03),,Proliferating CD8 T cell–other (2.6e-02),True
Primary_Dermal_Melanoma,25-Hydroxycholesterol,1,ABCA1,True,0.0013899143947207,1,2,T Cell–other (2.2e-03); other (self) (2.2e-03),,T Cell–other (2.2e-03),True,2,CD8 T Cell–other (2.2e-03); other (self) (2.2e-03),,CD8 T Cell–other (2.2e-03),True,4,Effector CD8 T cell–other (3.7e-03); Gamma delta T cell–other (3.7e-03); Proliferating CD8 T cell–other (7.0e-03); other (self) (3.7e-03),,Effector CD8 T cell–other (3.7e-03); Gamma delta T cell–other (3.7e-03); Proliferating CD8 T cell–other (7.0e-03),True
Primary_Dermal_Melanoma,"3',4'-Dihydrodiol",6,"ABCB1, ABCC2, SLCO1C1",True,0.0013899143947207,4,1,other (self) (2.2e-03),,,False,1,other (self) (2.2e-03),,,False,1,other (self) (3.7e-03),,,False
Primary_Dermal_Melanoma,3-Sulfodeoxycholic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0393972220555157,1,1,other (self) (2.2e-03),,,False,1,other (self) (2.2e-03),,,False,1,other (self) (1.3e-02),,,False
Primary_Dermal_Melanoma,"3alpha,7alpha-Dihydroxycoprostanic acid",10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0393972220555157,1,1,other (self) (2.2e-03),,,False,1,other (self) (2.2e-03),,,False,1,other (self) (1.3e-02),,,False
Primary_Dermal_Melanoma,3b-Hydroxy-5-cholenoic acid,10,"ABCC3, SLC10A1, SLCO1B1, SLCO1B3",True,0.0393972220555157,1,1,other (self) (2.2e-03),,,False,1,other (self) (2.2e-03),,,False,1,other (self) (1.3e-02),,,False
Primary_Dermal_Melanoma,4'-Hydroxydiclofenac,10,"ABCB1, ABCC1, ABCC4, SLCO1C1",True,0.0013899143947207,5,1,other (self) (2.2e-03),,,False,1,other (self) (2.2e-03),,,False,1,other (self) (3.7e-03),,,False
Primary_Dermal_Melanoma,4-Hydroxycyclophosphamide,1,ABCB1,True,0.0013899143947207,1,1,other (self) (2.2e-03),,,False,1,other (self) (2.2e-03),,,False,2,Proliferating CD8 T cell–other (2.6e-02); other (self) (3.7e-03),,Proliferating CD8 T cell–other (2.6e-02),True
Primary_Dermal_Melanoma,4-Hydroxyvalsartan,3,"SLCO1B1, SLCO1B3",False,0.2171413403637004,0,0,,,,False,0,,,,False,0,,,,False
Primary_Dermal_Melanoma,4-ene-Valproic acid,3,"SLC16A1, SLC22A5",True,0.0013899143947207,3,1,other (self) (2.2e-03),,,False,1,other (self) (2.2e-03),,,False,1,other (self) (3.7e-03),,,False
Primary_Dermal_Melanoma,5-Hydroxyomeprazole,6,"ABCB1, ABCC3, ABCG2",True,0.0013899143947207,1,1,other (self) (2.2e-03),,,False,1,other (self) (2.2e-03),,,False,2,Proliferating CD8 T cell–other (2.6e-02); other (self) (3.7e-03),,Proliferating CD8 T cell–other (2.6e-02),True
Primary_Dermal_Melanoma,5-Methyltetrahydrofolic acid,1,FOLR1,True,0.0092469512923689,1,1,other (self) (1.7e-02),,,False,1,other (self) (1.7e-02),,,False,1,other (self) (1.0e-02),,,False
Primary_Dermal_Melanoma,8-Hydroxycarvedilol,1,ABCB1,True,0.0013899143947207,1,1,other (self) (2.2e-03),,,False,1,other (self) (2.2e-03),,,False,2,Proliferating CD8 T cell–other (2.6e-02); other (self) (3.7e-03),,Proliferating CD8 T cell–other (2.6e-02),True
Primary_Dermal_Melanoma,ADP,3,"ATP7A, ATP7B",True,0.0013899143947207,2,1,other (self) (2.2e-03),,,False,1,other (self) (2.2e-03),,,False,2,ISG CD8 T cell–other (3.1e-02); other (self) (3.7e-03),,ISG CD8 T cell–other (3.1e-02),True
Primary_Dermal_Melanoma,Acetate,6,"SLC16A1, SLC16A4, SLCO2B1",True,0.0013899143947207,5,2,T Cell–other (2.2e-03); other (self) (2.2e-03),,T Cell–other (2.2e-03),True,2,CD8 T Cell–other (2.2e-03); other (self) (2.2e-03),,CD8 T Cell–other (2.2e-03),True,4,Effector CD8 T cell–other (3.7e-03); Gamma delta T cell–other (3.7e-03); Proliferating CD8 T cell–other (3.7e-03); other (self) (3.7e-03),,Effector CD8 T cell–other (3.7e-03); Gamma delta T cell–other (3.7e-03); Proliferating CD8 T cell–other (3.7e-03),True
Primary_Dermal_Melanoma,Acetyl-L-Carnitine,3,"SLC22A5, SLC22A8",True,0.0013899143947207,1,1,other (self) (2.2e-03),,,False,1,other (self) (2.2e-03),,,False,2,ISG CD8 T cell–other (4.9e-02); other (self) (3.7e-03),,ISG CD8 T cell–other (4.9e-02),True
