,gene,export,import,pair,cell_type,mean,std,n,frac_nonzero
0,CD4,ABCA1,ABCA1,ABCA1@ABCA1,0,1.2840716e-06,1.0739408e-06,37999,0.9962893760362115
1,CD4,ATP7A,ATP7A,ATP7A@ATP7A,0,0.0,0.0,37999,0.0
2,CD4,SLC16A4,SLCO2B1,SLC16A4@SLCO2B1,0,5.939908e-07,4.5212153e-07,37999,1.0
3,CD4,SLCO2B1,SLC16A4,SLCO2B1@SLC16A4,0,-2.6065945e-06,1.9586482e-06,37999,1.0
4,CD4,SLCO2B1,SLCO2B1,SLCO2B1@SLCO2B1,0,3.2790933e-06,9.167121e-07,37999,1.0
5,CD4,SLC16A4,SLC16A4,SLC16A4@SLC16A4,0,-9.5535015e-06,2.9812047e-06,37999,1.0
6,CD4,SLC16A1,SLC16A1,SLC16A1@SLC16A1,0,-5.489506e-07,3.9877773e-07,37999,1.0
7,CD4,SLC16A1,SLC16A4,SLC16A1@SLC16A4,0,-4.2098936e-06,1.2219933e-06,37999,1.0
8,CD4,SLC16A4,SLC16A1,SLC16A4@SLC16A1,0,-2.5907834e-06,9.4633106e-07,37999,1.0
9,CD4,SLC29A3,SLC29A3,SLC29A3@SLC29A3,0,0.0,0.0,37999,0.0
10,CD4,SLC29A1,SLC29A1,SLC29A1@SLC29A1,0,-4.264625e-06,1.5162213e-06,37999,1.0
11,CD4,CD38,CD38,CD38@CD38,0,0.0,0.0,37999,0.0
12,CD4,TAP1,TAP1,TAP1@TAP1,0,1.6486962e-05,5.376021e-06,37999,1.0
13,CD4,ATP7B,TAP1,ATP7B@TAP1,0,0.0,0.0,37999,0.0
14,CD4,ATP7A,TAP1,ATP7A@TAP1,0,-2.9150394e-07,8.5854005e-08,37999,1.0
15,CD4,TAP1,ATP7A,TAP1@ATP7A,0,1.2186222e-08,6.5195627e-09,37999,1.0
16,CD4,ABCC2,ABCC2,ABCC2@ABCC2,0,0.0,0.0,37999,0.0
17,CD4,SLC39A8,SLC39A8,SLC39A8@SLC39A8,0,0.0,0.0,37999,0.0
18,CD4,CLCN3,CLCN5,CLCN3@CLCN5,0,-2.2313716e-06,7.168356e-07,37999,1.0
19,CD4,CLCN5,CLCN3,CLCN5@CLCN3,0,-4.591453e-07,3.787316e-07,37999,0.9993420879496829
20,CD4,CLCN3,CLCN3,CLCN3@CLCN3,0,-1.3126018e-05,4.1581075e-06,37999,1.0
21,CD4,CD36,CD36,CD36@CD36,0,0.0,0.0,37999,0.0
22,CD4,SLC1A3,SLC1A3,SLC1A3@SLC1A3,0,0.0,0.0,37999,0.0
23,CD4,SLC2A1,SLC2A3,SLC2A1@SLC2A3,0,-1.1381189e-06,9.142343e-07,37999,1.0
24,CD4,SLC2A3,SLC2A1,SLC2A3@SLC2A1,0,-1.778022e-06,1.3517705e-06,37999,1.0
25,CD4,SLC2A3,SLC2A3,SLC2A3@SLC2A3,0,-2.1073663e-05,5.032846e-06,37999,1.0
26,CD4,SLC2A1,SLC2A1,SLC2A1@SLC2A1,0,-1.7221086e-07,5.3675624e-08,37999,1.0
27,CD4,SLC2A9,SLC2A1,SLC2A9@SLC2A1,0,0.0,0.0,37999,0.0
28,CD4,ABCB1,SLCO2B1,ABCB1@SLCO2B1,0,0.0,0.0,37999,0.0
29,CD4,SLCO2B1,ABCB1,SLCO2B1@ABCB1,0,0.0,0.0,37999,0.0
30,CD4,CHRNA5,SLC29A1,CHRNA5@SLC29A1,0,3.674408e-08,2.7194808e-08,37999,1.0
31,CD4,SLC29A1,CHRNA5,SLC29A1@CHRNA5,0,0.0,0.0,37999,0.0
32,CD4,MSR1,MSR1,MSR1@MSR1,0,6.8359973e-06,2.1016153e-06,37999,1.0
33,CD4,CD36,CPT1A,CD36@CPT1A,0,0.0,0.0,37999,0.0
34,CD4,CPT1A,CD36,CPT1A@CD36,0,0.0,0.0,37999,0.0
35,CD4,CPT1A,CPT1A,CPT1A@CPT1A,0,0.0,0.0,37999,0.0
36,CD4,CD36,MSR1,CD36@MSR1,0,-1.7877464e-07,1.4943588e-07,37999,0.9998947340719493
37,CD4,MSR1,CD36,MSR1@CD36,0,0.0,0.0,37999,0.0
38,CD4,CPT1A,MSR1,CPT1A@MSR1,0,-2.549468e-07,7.9472194e-08,37999,1.0
39,CD4,MSR1,CPT1A,MSR1@CPT1A,0,0.0,0.0,37999,0.0
40,CD4,ABCC3,FOLR2,ABCC3@FOLR2,0,0.0,0.0,37999,0.0
41,CD4,FOLR2,FOLR2,FOLR2@FOLR2,0,0.0,0.0,37999,0.0
42,CD4,ABCC1,ABCC1,ABCC1@ABCC1,0,0.0,0.0,37999,0.0
43,CD4,ABCC4,ABCC1,ABCC4@ABCC1,0,0.0,0.0,37999,0.0
44,CD4,LRP1,LRP1,LRP1@LRP1,0,5.2803017e-08,3.9526178e-08,37999,1.0
45,CD4,SLC3A2,SLC3A2,SLC3A2@SLC3A2,0,1.1713156e-07,4.0719907e-08,37999,1.0
46,CD4,CUBN,SLC11A2,CUBN@SLC11A2,0,0.0,0.0,37999,0.0
47,CD4,CUBN,SLC3A2,CUBN@SLC3A2,0,0.0,0.0,37999,0.0
48,CD4,SLC11A2,SLC11A2,SLC11A2@SLC11A2,0,-1.3173725e-06,7.147644e-07,37999,1.0
49,CD4,SLC11A2,SLC3A2,SLC11A2@SLC3A2,0,1.4486434e-07,6.0966435e-08,37999,1.0
50,CD4,SLC3A2,SLC11A2,SLC3A2@SLC11A2,0,-1.4327746e-06,5.063755e-07,37999,1.0
51,CD4,SLC40A1,SLC40A1,SLC40A1@SLC40A1,0,-3.0356378e-07,1.3230621e-07,37999,1.0
