group,left,right,count
lr,-0.008734375,-0.008364816,2
lr,-0.008364816,-0.007995256,0
lr,-0.007995256,-0.007625697,0
lr,-0.007625697,-0.0072561377,0
lr,-0.0072561377,-0.0068865786,1
lr,-0.0068865786,-0.006517019,0
lr,-0.006517019,-0.0061474596,0
lr,-0.0061474596,-0.0057779006,0
lr,-0.0057779006,-0.005408341,0
lr,-0.005408341,-0.0050387816,0
lr,-0.0050387816,-0.0046692225,1
lr,-0.0046692225,-0.004299663,0
lr,-0.004299663,-0.0039301035,1
lr,-0.0039301035,-0.0035605442,0
lr,-0.0035605442,-0.003190985,0
lr,-0.003190985,-0.0028214254,1
lr,-0.0028214254,-0.0024518662,0
lr,-0.0024518662,-0.002082307,0
lr,-0.002082307,-0.0017127474,1
lr,-0.0017127474,-0.0013431881,0
lr,-0.0013431881,-0.0009736287,4
lr,-0.0009736287,-0.0006040693,9
lr,-0.0006040693,-0.00023451,22
lr,-0.00023451,0.00013504937,1488
lr,0.00013504937,0.00050460873,40
lr,0.00050460873,0.00087416806,10
lr,0.00087416806,0.0012437274,5
lr,0.0012437274,0.0016132868,1
lr,0.0016132868,0.001982846,2
lr,0.001982846,0.0023524056,1
lr,0.0023524056,0.0027219648,1
lr,0.0027219648,0.0030915244,0
lr,0.0030915244,0.0034610836,0
lr,0.0034610836,0.003830643,1
lr,0.003830643,0.0042002024,0
lr,0.0042002024,0.0045697615,0
lr,0.0045697615,0.004939321,0
lr,0.004939321,0.0053088805,1
lr,0.0053088805,0.00567844,0
lr,0.00567844,0.006047999,1
lr,0.006047999,0.0064175585,0
lr,0.0064175585,0.006787118,0
lr,0.006787118,0.007156677,0
lr,0.007156677,0.0075262366,0
lr,0.0075262366,0.007895796,0
lr,0.007895796,0.008265356,0
lr,0.008265356,0.008634915,0
lr,0.008634915,0.009004474,0
lr,0.009004474,0.009374034,0
lr,0.009374034,0.009743593,1
ltf,-3.7620426e-05,-3.678457e-05,1
ltf,-3.678457e-05,-3.594872e-05,0
ltf,-3.594872e-05,-3.5112866e-05,0
ltf,-3.5112866e-05,-3.4277014e-05,0
ltf,-3.4277014e-05,-3.344116e-05,0
ltf,-3.344116e-05,-3.260531e-05,0
ltf,-3.260531e-05,-3.1769454e-05,0
ltf,-3.1769454e-05,-3.0933603e-05,0
ltf,-3.0933603e-05,-3.009775e-05,0
ltf,-3.009775e-05,-2.9261897e-05,0
ltf,-2.9261897e-05,-2.8426044e-05,0
ltf,-2.8426044e-05,-2.7590191e-05,0
ltf,-2.7590191e-05,-2.6754338e-05,0
ltf,-2.6754338e-05,-2.5918485e-05,0
ltf,-2.5918485e-05,-2.508263e-05,0
ltf,-2.508263e-05,-2.4246778e-05,0
ltf,-2.4246778e-05,-2.3410925e-05,0
ltf,-2.3410925e-05,-2.2575072e-05,0
ltf,-2.2575072e-05,-2.1739219e-05,0
ltf,-2.1739219e-05,-2.0903366e-05,0
ltf,-2.0903366e-05,-2.0067513e-05,0
ltf,-2.0067513e-05,-1.923166e-05,0
ltf,-1.923166e-05,-1.8395807e-05,0
ltf,-1.8395807e-05,-1.7559954e-05,0
ltf,-1.7559954e-05,-1.6724101e-05,0
ltf,-1.6724101e-05,-1.5888249e-05,0
