gene,ligand,tf,pair,cell_type,mean,std,n
CD3E,EBI3,CTCF,EBI3#CTCF,CD8 T Cell,-3.2424312e-09,3.766054e-09,9364
CD3E,CSF1,ETV5,CSF1#ETV5,CD8 T Cell,1.3607648e-07,1.196555e-07,9364
CD3E,IL15,ETV5,IL15#ETV5,CD8 T Cell,1.2126061e-07,9.174997e-08,9364
CD3E,IL6,FLI1,IL6#FLI1,CD8 T Cell,7.9037584e-08,4.260976e-08,9364
CD3E,CXCL12,FOXJ2,CXCL12#FOXJ2,CD8 T Cell,-4.322654e-07,3.253221e-07,9364
CD3E,TGFB3,FOXO1,TGFB3#FOXO1,CD8 T Cell,-4.29008e-08,2.5202928e-08,9364
CD3E,TNFSF9,HOXB7,TNFSF9#HOXB7,CD8 T Cell,1.9058284e-07,1.9496537e-07,9364
CD3E,IL18,HOXB7,IL18#HOXB7,CD8 T Cell,4.172223e-06,1.1445605e-06,9364
CD3E,HBEGF,HOXB7,HBEGF#HOXB7,CD8 T Cell,2.9886922e-07,1.8344753e-07,9364
CD3E,CXCL12,HOXB7,CXCL12#HOXB7,CD8 T Cell,-3.7620426e-05,6.622705e-06,9364
CD3E,POSTN,POU1F1,POSTN#POU1F1,CD8 T Cell,-1.5016033e-08,1.4346472e-08,9364
CD3E,PDGFA,POU2F1,PDGFA#POU2F1,CD8 T Cell,4.9039124e-09,2.1128672e-09,9364
CD3E,FGF2,RUNX1,FGF2#RUNX1,CD8 T Cell,8.19119e-08,1.4215243e-08,9364
CD3E,IL18,SIN3A,IL18#SIN3A,CD8 T Cell,-7.251042e-08,2.6281358e-08,9364
CD3E,CXCL12,SIN3A,CXCL12#SIN3A,CD8 T Cell,-3.5465862e-06,1.6418937e-06,9364
CD3E,EBI3,SIN3A,EBI3#SIN3A,CD8 T Cell,2.4368476e-09,4.1979925e-10,9364
CD3E,IFNG,STAT1,IFNG#STAT1,CD8 T Cell,-1.00522676e-07,5.4655217e-08,9364
CD3E,IL6,STAT3,IL6#STAT3,CD8 T Cell,-1.0022819e-06,2.95551e-07,9364
CD3E,TNFSF12,STAT5A,TNFSF12#STAT5A,CD8 T Cell,2.1313924e-07,1.5955159e-07,9364
CD3E,TNFSF12,TCF7L2,TNFSF12#TCF7L2,CD8 T Cell,-1.0087e-07,1.8884615e-08,9364
CD3E,VEGFC,ZBTB1,VEGFC#ZBTB1,CD8 T Cell,-2.8553139e-08,4.556153e-09,9364
CD3E,EBI3,CTCF,EBI3#CTCF,other,-4.5727702e-10,1.8316123e-09,103187
CD3E,CSF1,ETV5,CSF1#ETV5,other,1.8217401e-08,6.3497694e-08,103187
