gene,export,import,pair,cell_type,mean,std,n
CD3E,ABCA1,ABCA1,ABCA1@ABCA1,Effector CD8 T cell,-1.5652919e-05,6.465832e-06,4715
CD3E,ATP7A,ATP7A,ATP7A@ATP7A,Effector CD8 T cell,-1.1981973e-06,4.7171923e-07,4715
CD3E,SLC16A4,SLC16A4,SLC16A4@SLC16A4,Effector CD8 T cell,1.0279476e-05,5.0961735e-06,4715
CD3E,SLC16A4,SLCO2B1,SLC16A4@SLCO2B1,Effector CD8 T cell,-5.2297555e-06,1.5118353e-06,4715
CD3E,SLCO2B1,SLC16A4,SLCO2B1@SLC16A4,Effector CD8 T cell,4.6446894e-06,9.664118e-07,4715
CD3E,SLC16A1,SLC16A1,SLC16A1@SLC16A1,Effector CD8 T cell,1.7725455e-06,3.3535676e-07,4715
CD3E,SLC16A1,SLC16A4,SLC16A1@SLC16A4,Effector CD8 T cell,1.6026554e-06,1.468776e-06,4715
CD3E,SLC16A4,SLC16A1,SLC16A4@SLC16A1,Effector CD8 T cell,5.67219e-06,1.0181813e-06,4715
CD3E,SLCO2B1,SLCO2B1,SLCO2B1@SLCO2B1,Effector CD8 T cell,-2.643376e-05,4.973181e-06,4715
CD3E,SLC29A1,SLC29A1,SLC29A1@SLC29A1,Effector CD8 T cell,4.483872e-06,5.320637e-06,4715
CD3E,CD38,CD38,CD38@CD38,Effector CD8 T cell,-2.261978e-06,4.7574264e-07,4715
CD3E,ATP7B,TAP1,ATP7B@TAP1,Effector CD8 T cell,-2.9703255e-08,5.60286e-09,4715
CD3E,ATP7A,TAP1,ATP7A@TAP1,Effector CD8 T cell,8.358345e-06,2.4770777e-06,4715
CD3E,TAP1,ATP7A,TAP1@ATP7A,Effector CD8 T cell,6.472028e-07,3.7967501e-07,4715
CD3E,TAP1,TAP1,TAP1@TAP1,Effector CD8 T cell,1.37299e-05,5.8594e-06,4715
CD3E,ABCC2,ABCC2,ABCC2@ABCC2,Effector CD8 T cell,6.448244e-08,1.8285741e-08,4715
CD3E,SLC39A8,SLC39A8,SLC39A8@SLC39A8,Effector CD8 T cell,3.4314994e-08,9.5213135e-09,4715
CD3E,CLCN5,CLCN5,CLCN5@CLCN5,Effector CD8 T cell,2.9423316e-07,1.5523516e-07,4715
CD3E,CLCN3,CLCN3,CLCN3@CLCN3,Effector CD8 T cell,2.6999718e-05,8.33464e-06,4715
CD3E,CLCN3,CLCN5,CLCN3@CLCN5,Effector CD8 T cell,4.8091147e-06,1.7978795e-06,4715
CD3E,CLCN5,CLCN3,CLCN5@CLCN3,Effector CD8 T cell,1.6032636e-06,4.373056e-07,4715
CD3E,CD36,CD36,CD36@CD36,Effector CD8 T cell,-3.7309946e-09,8.178339e-10,4715
CD3E,SLC1A3,SLC1A3,SLC1A3@SLC1A3,Effector CD8 T cell,1.0421286e-07,2.4113831e-08,4715
CD3E,SLC2A1,SLC2A1,SLC2A1@SLC2A1,Effector CD8 T cell,-6.6630776e-08,3.5782204e-08,4715
CD3E,SLC2A3,SLC2A3,SLC2A3@SLC2A3,Effector CD8 T cell,2.0906557e-05,4.9602104e-06,4715
CD3E,SLC2A1,SLC2A3,SLC2A1@SLC2A3,Effector CD8 T cell,8.229827e-07,3.5057337e-07,4715
CD3E,SLC2A3,SLC2A1,SLC2A3@SLC2A1,Effector CD8 T cell,1.8835767e-06,5.184886e-07,4715
CD3E,ABCB1,SLCO2B1,ABCB1@SLCO2B1,Effector CD8 T cell,-4.511148e-09,5.1784883e-09,4715
CD3E,SLCO2B1,ABCB1,SLCO2B1@ABCB1,Effector CD8 T cell,3.820711e-06,2.0605335e-06,4715
CD3E,CHRNA5,SLC29A1,CHRNA5@SLC29A1,Effector CD8 T cell,-4.832731e-07,4.1072062e-07,4715
CD3E,SLC29A1,CHRNA5,SLC29A1@CHRNA5,Effector CD8 T cell,-1.7757683e-06,4.6546387e-07,4715
CD3E,CD36,MSR1,CD36@MSR1,Effector CD8 T cell,-2.323394e-06,1.8082172e-06,4715
CD3E,MSR1,CD36,MSR1@CD36,Effector CD8 T cell,-7.7721296e-07,6.849201e-07,4715
CD3E,CD36,CPT1A,CD36@CPT1A,Effector CD8 T cell,2.080957e-06,3.8048185e-07,4715
CD3E,CPT1A,CD36,CPT1A@CD36,Effector CD8 T cell,4.078262e-09,1.1699723e-09,4715
CD3E,MSR1,MSR1,MSR1@MSR1,Effector CD8 T cell,-3.1153413e-05,7.316417e-06,4715
CD3E,CPT1A,MSR1,CPT1A@MSR1,Effector CD8 T cell,-9.466895e-06,2.6548403e-06,4715
CD3E,MSR1,CPT1A,MSR1@CPT1A,Effector CD8 T cell,-2.0009377e-07,1.1455332e-07,4715
CD3E,CPT1A,CPT1A,CPT1A@CPT1A,Effector CD8 T cell,3.2590772e-06,9.189688e-07,4715
CD3E,FOLR2,FOLR2,FOLR2@FOLR2,Effector CD8 T cell,-1.7724145e-07,7.4403935e-08,4715
CD3E,ABCC2,ABCC4,ABCC2@ABCC4,Effector CD8 T cell,-2.9255298e-07,6.5346434e-08,4715
CD3E,ABCC1,ABCC1,ABCC1@ABCC1,Effector CD8 T cell,1.0453113e-06,5.380377e-07,4715
CD3E,ABCC1,ABCC4,ABCC1@ABCC4,Effector CD8 T cell,3.7055205e-08,9.581161e-09,4715
CD3E,ABCC4,ABCC1,ABCC4@ABCC1,Effector CD8 T cell,-1.8916849e-08,2.0160439e-08,4715
CD3E,LRP1,LRP1,LRP1@LRP1,Effector CD8 T cell,-1.8557308e-05,3.3291426e-06,4715
CD3E,CUBN,SLC3A2,CUBN@SLC3A2,Effector CD8 T cell,2.5025992e-07,1.5221961e-07,4715
CD3E,SLC3A2,CUBN,SLC3A2@CUBN,Effector CD8 T cell,-1.2591963e-06,3.7463292e-07,4715
CD3E,SLC11A2,SLC3A2,SLC11A2@SLC3A2,Effector CD8 T cell,8.473058e-06,3.2232645e-06,4715
CD3E,SLC3A2,SLC11A2,SLC3A2@SLC11A2,Effector CD8 T cell,1.2395975e-06,1.3057695e-06,4715
CD3E,SLC40A1,SLC40A1,SLC40A1@SLC40A1,Effector CD8 T cell,-4.2244596e-05,9.010498e-06,4715
CD3E,SLC3A2,SLC3A2,SLC3A2@SLC3A2,Effector CD8 T cell,1.1116195e-05,2.054755e-06,4715
CD3E,SLC11A2,SLC11A2,SLC11A2@SLC11A2,Effector CD8 T cell,1.9564386e-06,1.2612498e-06,4715
CD3E,CUBN,SLC11A2,CUBN@SLC11A2,Effector CD8 T cell,-1.6012741e-07,4.082495e-08,4715
CD3E,SLC11A2,CUBN,SLC11A2@CUBN,Effector CD8 T cell,-7.1090267e-07,3.6655814e-07,4715
CD3E,SLC7A5,SLC7A5,SLC7A5@SLC7A5,Effector CD8 T cell,1.440323e-05,3.027082e-06,4715
CD3E,SLC43A2,SLC43A2,SLC43A2@SLC43A2,Effector CD8 T cell,-5.9950374e-08,1.895692e-08,4715
CD3E,SLC6A17,SLC6A17,SLC6A17@SLC6A17,Effector CD8 T cell,9.494506e-06,6.0859843e-06,4715
CD3E,SLC6A17,SLC6A9,SLC6A17@SLC6A9,Effector CD8 T cell,-1.3897142e-06,2.9904146e-07,4715
CD3E,SLC6A9,SLC6A17,SLC6A9@SLC6A17,Effector CD8 T cell,-1.8173967e-06,4.6656055e-07,4715
CD3E,SLC16A1,SLC22A5,SLC16A1@SLC22A5,Effector CD8 T cell,5.8876e-07,1.5365389e-07,4715
CD3E,SLC22A5,SLC16A1,SLC22A5@SLC16A1,Effector CD8 T cell,-1.2113549e-06,2.5781452e-07,4715
CD3E,SLC22A5,SLCO2B1,SLC22A5@SLCO2B1,Effector CD8 T cell,-1.4275246e-06,3.6030588e-07,4715
CD3E,SLCO2B1,SLC22A5,SLCO2B1@SLC22A5,Effector CD8 T cell,-4.1775155e-07,1.5362458e-07,4715
CD3E,SLC12A2,SLC5A3,SLC12A2@SLC5A3,Effector CD8 T cell,1.6167907e-06,4.6833978e-07,4715
CD3E,SLC5A3,SLC12A2,SLC5A3@SLC12A2,Effector CD8 T cell,-4.124792e-07,3.7923982e-07,4715
CD3E,SLC12A2,SLC1A5,SLC12A2@SLC1A5,Effector CD8 T cell,-8.2204457e-07,1.6968339e-07,4715
CD3E,SLC1A5,SLC12A2,SLC1A5@SLC12A2,Effector CD8 T cell,4.944435e-07,1.4223069e-07,4715
CD3E,SLC5A3,SLC5A3,SLC5A3@SLC5A3,Effector CD8 T cell,4.6073324e-06,1.5868326e-06,4715
CD3E,SLC12A2,SLC12A2,SLC12A2@SLC12A2,Effector CD8 T cell,-1.162755e-06,2.4563687e-07,4715
CD3E,SLC22A5,SLC29A1,SLC22A5@SLC29A1,Effector CD8 T cell,4.6091634e-07,9.444266e-08,4715
CD3E,SLC29A1,SLC22A5,SLC29A1@SLC22A5,Effector CD8 T cell,-5.3044675e-07,4.6193523e-07,4715
CD3E,SLC1A5,SLC29A1,SLC1A5@SLC29A1,Effector CD8 T cell,1.7271242e-06,6.3397783e-07,4715
CD3E,SLC29A1,SLC1A5,SLC29A1@SLC1A5,Effector CD8 T cell,2.87648e-06,9.413008e-07,4715
CD3E,SLC22A5,SLC5A3,SLC22A5@SLC5A3,Effector CD8 T cell,-1.319685e-06,5.7504116e-07,4715
CD3E,SLC5A3,SLC22A5,SLC5A3@SLC22A5,Effector CD8 T cell,-2.3031257e-07,6.576866e-08,4715
CD3E,SLC1A5,SLC22A5,SLC1A5@SLC22A5,Effector CD8 T cell,8.326547e-08,1.3314264e-08,4715
CD3E,SLC22A5,SLC1A5,SLC22A5@SLC1A5,Effector CD8 T cell,-3.0383078e-09,6.591027e-10,4715
CD3E,SLC12A2,SLC29A1,SLC12A2@SLC29A1,Effector CD8 T cell,2.1078947e-06,1.2622404e-06,4715
CD3E,SLC29A1,SLC12A2,SLC29A1@SLC12A2,Effector CD8 T cell,6.4317987e-06,1.464394e-06,4715
CD3E,SLC1A5,SLC5A3,SLC1A5@SLC5A3,Effector CD8 T cell,-1.5252994e-07,7.15311e-08,4715
CD3E,SLC5A3,SLC1A5,SLC5A3@SLC1A5,Effector CD8 T cell,1.2281189e-06,6.7167326e-07,4715
CD3E,SLC1A5,SLC1A5,SLC1A5@SLC1A5,Effector CD8 T cell,7.4086745e-07,3.2942197e-07,4715
CD3E,SLC29A1,SLC5A3,SLC29A1@SLC5A3,Effector CD8 T cell,1.873953e-05,4.452743e-06,4715
CD3E,SLC5A3,SLC29A1,SLC5A3@SLC29A1,Effector CD8 T cell,2.3725197e-06,1.6070717e-06,4715
CD3E,SLC12A2,SLC22A5,SLC12A2@SLC22A5,Effector CD8 T cell,-5.2204143e-08,4.364974e-08,4715
CD3E,SLC22A5,SLC12A2,SLC22A5@SLC12A2,Effector CD8 T cell,4.5823555e-08,3.6346332e-08,4715
CD3E,ABCC2,SLCO2B1,ABCC2@SLCO2B1,Effector CD8 T cell,-3.791979e-07,2.842555e-07,4715
CD3E,SLCO2B1,ABCC2,SLCO2B1@ABCC2,Effector CD8 T cell,-7.20917e-07,6.0867774e-07,4715
CD3E,ABCC1,SLCO2B1,ABCC1@SLCO2B1,Effector CD8 T cell,-6.9046387e-06,2.200755e-06,4715
CD3E,SLCO2B1,ABCC1,SLCO2B1@ABCC1,Effector CD8 T cell,-2.9785222e-06,8.3476965e-07,4715
