gene,ligand,receptor,pair,cell_type,mean,std,n
CD3E,TGFB1,TGFBR1,TGFB1$TGFBR1,Effector CD8 T cell,9.5455306e-08,3.5503515e-08,4715
CD3E,TGFB1,TGFBR2,TGFB1$TGFBR2,Effector CD8 T cell,-5.1150363e-07,3.1224963e-07,4715
CD3E,TGFB2,TGFBR2,TGFB2$TGFBR2,Effector CD8 T cell,0.0,0.0,4715
CD3E,TGFB3,TGFBR1,TGFB3$TGFBR1,Effector CD8 T cell,-5.230921e-05,4.510098e-05,4715
CD3E,TGFB3,TGFBR2,TGFB3$TGFBR2,Effector CD8 T cell,-5.027402e-05,1.2221745e-05,4715
CD3E,TGFB3,ACVR1,TGFB3$ACVR1,Effector CD8 T cell,7.176173e-08,4.6010403e-08,4715
CD3E,BMP7,BMPR2,BMP7$BMPR2,Effector CD8 T cell,0.0,0.0,4715
CD3E,BMP8A,BMPR2,BMP8A$BMPR2,Effector CD8 T cell,-4.4210072e-08,2.0780709e-08,4715
CD3E,BMP8B,ACVR1,BMP8B$ACVR1,Effector CD8 T cell,1.2952313e-07,9.3466554e-08,4715
CD3E,BMP8B,ACVR2A,BMP8B$ACVR2A,Effector CD8 T cell,9.302729e-08,2.9385262e-08,4715
CD3E,BMP8B,BMPR2,BMP8B$BMPR2,Effector CD8 T cell,-6.402927e-06,1.7413039e-06,4715
CD3E,BMP8B,BMPR1A,BMP8B$BMPR1A,Effector CD8 T cell,7.5443944e-07,1.7224703e-07,4715
CD3E,GDF11,TGFBR1,GDF11$TGFBR1,Effector CD8 T cell,-1.214574e-06,1.4943283e-06,4715
CD3E,GDF11,ACVR2A,GDF11$ACVR2A,Effector CD8 T cell,-1.4043317e-06,8.2152036e-07,4715
CD3E,GDF11,ACVR1B,GDF11$ACVR1B,Effector CD8 T cell,-4.792622e-07,1.9346871e-07,4715
CD3E,GDF15,TGFBR2,GDF15$TGFBR2,Effector CD8 T cell,0.00018916676,7.1769005e-05,4715
CD3E,INHBA,ACVR1B,INHBA$ACVR1B,Effector CD8 T cell,-2.2215104e-07,9.1293124e-08,4715
CD3E,INHBA,ACVR2A,INHBA$ACVR2A,Effector CD8 T cell,-1.0561923e-05,4.0433156e-06,4715
CD3E,WNT2,FZD1,WNT2$FZD1,Effector CD8 T cell,-1.0146656e-06,1.1495141e-06,4715
CD3E,WNT2,LRP5,WNT2$LRP5,Effector CD8 T cell,3.0097226e-08,3.2144694e-08,4715
CD3E,WNT3,FZD1,WNT3$FZD1,Effector CD8 T cell,-1.3871761e-08,5.373289e-09,4715
CD3E,WNT3,FZD10,WNT3$FZD10,Effector CD8 T cell,0.0,0.0,4715
CD3E,WNT3,FZD4,WNT3$FZD4,Effector CD8 T cell,0.0,0.0,4715
CD3E,WNT2,LRP6,WNT2$LRP6,Effector CD8 T cell,6.9831174e-08,2.126993e-08,4715
CD3E,WNT3,LRP6,WNT3$LRP6,Effector CD8 T cell,0.0,0.0,4715
CD3E,WNT5A,FZD1,WNT5A$FZD1,Effector CD8 T cell,-3.4368655e-05,2.2560582e-05,4715
CD3E,WNT5A,FZD10,WNT5A$FZD10,Effector CD8 T cell,0.0,0.0,4715
CD3E,WNT5A,FZD4,WNT5A$FZD4,Effector CD8 T cell,0.0,0.0,4715
CD3E,WNT5A,FZD6,WNT5A$FZD6,Effector CD8 T cell,0.0,0.0,4715
CD3E,WNT5A,MCAM,WNT5A$MCAM,Effector CD8 T cell,-1.6982315e-07,1.5074544e-07,4715
CD3E,FGF1,FGFR1,FGF1$FGFR1,Effector CD8 T cell,-0.0005862478,9.790265e-05,4715
CD3E,FGF2,FGFR1,FGF2$FGFR1,Effector CD8 T cell,-9.1932765e-05,6.0115646e-05,4715
CD3E,FGF7,FGFR1,FGF7$FGFR1,Effector CD8 T cell,-0.0002621227,6.8082496e-05,4715
CD3E,PDGFA,PDGFRA,PDGFA$PDGFRA,Effector CD8 T cell,-8.6941414e-05,2.7382124e-05,4715
CD3E,PDGFA,PDGFRB,PDGFA$PDGFRB,Effector CD8 T cell,-0.00039964376,0.00010353223,4715
