gene,metabolite,cell_type,mean,std,n
CD3E,25-Hydroxycholesterol,Effector CD8 T cell,-2.875726e-05,6.509919e-06,4715
CD3E,ADP,Effector CD8 T cell,-2.9916941e-07,2.9396907e-07,4715
CD3E,Acetate,Effector CD8 T cell,-4.5406265e-05,1.3925185e-05,4715
CD3E,Adenosine|Cytidine|Guanosine|Inosine|Thymidine|Uridine,Effector CD8 T cell,-2.5111192e-06,6.014926e-07,4715
CD3E,Adenosine diphosphate ribose,Effector CD8 T cell,-4.87402e-06,2.9389428e-06,4715
CD3E,Adenosine triphosphate,Effector CD8 T cell,5.511539e-05,9.7853945e-06,4715
CD3E,Bilirubin|Fusidic Acid,Effector CD8 T cell,-1.46784025e-08,5.4631646e-09,4715
CD3E,Cadmium|Manganese,Effector CD8 T cell,-8.109768e-08,4.7028557e-08,4715
CD3E,Chloride,Effector CD8 T cell,3.9209972e-05,1.5658366e-05,4715
CD3E,Cholesterol,Effector CD8 T cell,-1.00922534e-07,5.5538326e-08,4715
CD3E,Citric acid|Oxalic acid,Effector CD8 T cell,-2.8311344e-05,7.034114e-06,4715
CD3E,D-Aspartate|L-Aspartate|Malic acid,Effector CD8 T cell,-1.4434196e-08,8.511779e-09,4715
CD3E,D-Galactose|D-Mannose|Dehydroascorbic acid|Docosahexaenoic acid,Effector CD8 T cell,4.228021e-05,8.349342e-06,4715
CD3E,D-Glucose,Effector CD8 T cell,1.4843835e-05,1.37779425e-05,4715
CD3E,D-Maltose|D-Xylose,Effector CD8 T cell,2.2724507e-05,7.8545445e-06,4715
CD3E,Estradiol,Effector CD8 T cell,-1.3778018e-05,6.1233345e-06,4715
CD3E,Ethanol,Effector CD8 T cell,-3.826208e-06,1.0042495e-06,4715
CD3E,Fatty acid,Effector CD8 T cell,-3.7927093e-05,1.128902e-05,4715
CD3E,Folic acid,Effector CD8 T cell,-1.0743317e-06,7.2997733e-07,4715
CD3E,Folinic acid,Effector CD8 T cell,1.0617483e-06,5.1165586e-07,4715
CD3E,Glutathione,Effector CD8 T cell,7.9672935e-07,6.009708e-07,4715
CD3E,Heme,Effector CD8 T cell,-3.0255358e-05,1.0766327e-05,4715
CD3E,Iron,Effector CD8 T cell,-1.2695301e-05,7.2429402e-06,4715
CD3E,L-Arginine|L-Histidine|L-Tyrosine,Effector CD8 T cell,1.3956061e-05,3.2882672e-06,4715
CD3E,L-Cystine,Effector CD8 T cell,4.772491e-06,3.1348275e-06,4715
CD3E,L-Isoleucine|L-Valine,Effector CD8 T cell,-1.7215603e-08,5.0059787e-09,4715
